	Chrom	Gene Name	Strand	Start	End	Position	p-value	Ratio Difference	Absolute ratio difference	n1: rna	n2: rna	N1: rna	N2: rna
26	chr1	NOTCH2NLR	+	120793746	120794851	120794214	0.9864052103484379	0.03178985432876824	0.03178985432876824	6.612244897959184	4.822605965463108	22.061965811965813	18.0
27	chr1	ZBTB8A	+	32600086	32605941	32600754	0.9852261239536646	-0.018830090040957315	0.018830090040957315	19.156545209176787	30.63003663003663	60.55239520958084	91.38023952095809
28	chr1	HYI	-	43450988	43451311	43451164	0.015550774874086138	-0.20369231520236947	0.20369231520236947	149.8409090909091	285.0568181818182	319.3945578231293	423.6666666666667
29	chr1	MCL1	-	150574557	150577491	150575970	0.9153581407633222	0.02261410835723232	0.02261410835723232	688.034677990092	1098.2972399150742	828.2728468113082	1359.1577909270216
30	chr1	CLIC4	+	24840772	24844321	24840848	0.003144432996864765	-0.2832991943312557	0.2832991943312557	393.2528073711489	541.9637201266917	503.7763157894737	509.4078947368421
31	chr1	MAPKAPK2	+	206732037	206734281	206732985	0.49223474873145656	-0.24089541862579988	0.24089541862579988	497.36728395061726	497.10493827160496	282.3259493670885	248.23312236286927
32	chr1	SMIM1	+	3775794	3775956	3775928	0.33010113119799256	-0.8161683277962347	0.8161683277962347	0.0	7.857142857142857	3.044776119402985	9.626865671641792
33	chr1	SPRTN	+	231351303	231355023	231354268	0.8209513925454153	0.10918937505206289	0.10918937505206289	41.00927152317881	14.597350993377484	77.2637436762226	34.62529510961214
34	chr1	LEPROT	+	65431802	65436007	65433735	0.8456049789078547	0.023538820446699804	0.023538820446699804	46.93705985915493	55.883362676056336	234.32384893947233	316.13657527159853
35	chr1	ARHGEF19	-	16197853	16198744	16198116	0.7667086037065126	-0.04874955092618152	0.04874955092618152	5.91254752851711	14.399239543726235	55.25	92.44267515923566
36	chr1	KYAT3	-	88935772	88936245	88936006	0.38249198267895695	-0.27612059125576593	0.27612059125576593	37.888888888888886	66.67094017094017	61.26778242677824	74.5313807531381
37	chr1	CENPL	-	173799549	173800519	173799713	0.6166623626495631	-0.17436979998945712	0.17436979998945712	174.53048780487805	157.57926829268294	170.3275434243176	131.42059553349876
38	chr1	H6PD	+	9263508	9271337	9267882	0.9609211615035118	0.04581255784396243	0.04581255784396243	57.958610709117224	155.74356005788712	71.57704618198444	203.87288523090996
39	chr1	GBA1	-	155234451	155235100	155234935	0.8325713370792054	0.05500540805111409	0.05500540805111409	189.9297520661157	299.9669421487603	246.95757575757577	420.07878787878786
40	chr1	C1orf74	-	209779207	209783709	209782337	0.5220102938444618	-0.15593735907803713	0.15593735907803713	13.37923322683706	18.0482428115016	51.69897959183673	43.518221574344025
41	chr1	SLC30A7	+	100974809	100981757	100976487	0.3064442016527764	-0.2623240962250886	0.2623240962250886	31.47685009487666	26.753320683111955	78.01847437425508	40.18355184743743
42	chr1	LZIC	-	9926292	9930457	9930265	0.9459516056318316	-0.026110306913632808	0.026110306913632808	69.64585955197583	58.762899572111756	191.43229166666663	150.703125
43	chr1	SFT2D2	+	168242500	168253021	168251307	0.28700619347484385	-0.39184901112776727	0.39184901112776727	271.78296382730457	258.24970828471413	176.79595776087206	133.86930850459862
44	chr1	HDAC1	+	32333016	32333626	32333360	0.18295269241763498	-0.10135815264543968	0.10135815264543968	1110.827067669173	1346.03007518797	1209.6191860465117	1320.0436046511627
45	chr1	ANP32E	-	150218416	150226795	150226607	0.019614512024332488	-0.11731046978082915	0.11731046978082915	145.27371505310708	147.31717738981808	563.6436170212767	392.79255319148945
46	chr1	TRAPPC3	-	36136571	36137322	36137160	0.0022193918759942366	0.135405868385863	0.135405868385863	669.5806451612904	433.47707979626483	1146.7345679012346	966.5123456790122
47	chr1	ARID4B	-	235166901	235168652	235167281	0.5471489703169592	-0.22930128723043142	0.22930128723043142	23.076315789473686	40.1578947368421	44.056163384390956	53.323851203501086
48	chr1	COA6	+	234383722	234385080	234384303	0.3070866940579899	0.007724083507707588	0.007724083507707588	3.6267696267696268	0.0	469.5404475043029	306.62822719449224
49	chr1	DDR2	+	162780111	162787405	162780403	0.5658138003639513	-0.11275848246688547	0.11275848246688547	66.67766352470723	89.43730362753499	140.3595890410959	152.1541095890411
50	chr1	ACADM	+	75762691	75763679	75763163	0.0800851488922443	0.28583171934823987	0.28583171934823987	62.41860465116279	43.60077519379845	91.55508474576271	110.12288135593221
51	chr1	SRSF10	-	23964346	23971439	23970378	0.21554747913636216	0.12204011981218316	0.12204011981218316	169.979774535809	132.94893899204243	305.11498586239395	305.5871819038643
52	chr1	S100A2	-	153561107	153561591	153561348	0.9199675079052596	0.012680106558759022	0.012680106558759022	18.236514522821576	9.71369294605809	222.3621399176955	140.10288065843622
53	chr1	RNF207	+	6219235	6221299	6220785	0.025064543170713292	0.7869001426616062	0.7869001426616062	142.8112840466926	134.28793774319067	73.42193548387098	115.94774193548389
54	chr1	RRAGC	-	38838197	38839704	38839337	0.006600990337162918	-0.23055285784708945	0.23055285784708945	408.86929824561406	737.6368421052632	537.9972752043595	744.6839237057222
55	chr1	EPHB2	+	22913461	22921500	22914598	0.9997828786435023	-0.004842350335741968	0.004842350335741968	0.0	0.007389162561576354	0.08970976253298153	1.5259454705364996
56	chr1	CLSTN1	-	9728925	9730705	9729282	0.32009068944008834	-0.07366035992605768	0.07366035992605768	728.8795518207282	939.5266106442577	1023.1384399156711	1195.2410400562194
57	chr1	UTP25	+	209851203	209857565	209851757	0.7292056907355242	-0.0335449933252764	0.0335449933252764	15.005509641873278	20.71332644628099	146.8898916967509	152.6407942238267
58	chr1	METTL13	+	171796481	171797716	171797377	0.422180958678797	-0.1605947376540119	0.1605947376540119	255.66076696165192	231.63716814159292	289.43861607142856	221.89732142857142
59	chr1	RNF2	+	185100199	185102603	185102215	0.35811267748098424	-0.054662199319205636	0.054662199319205636	0.7603092783505154	3.8427835051546393	58.02827380952381	56.707837301587304
60	chr1	AHCTF1	-	246839097	246840998	246839397	0.007856567957428777	-0.7998433367848333	0.7998433367848333	14.6	26.51	46.04309806371018	23.734540911930043
61	chr1	NBPF10	-	146064698	146066561	146064980	0.9999189726333173	-0.0013103828573232112	0.0013103828573232112	30.585106382978722	44.95390070921986	81.7944339025933	119.80139152435169
62	chr1	PDE4B	+	66372312	66374579	66374165	0.7408729018610449	-0.1859243819133234	0.1859243819133234	17.42512077294686	51.466183574879224	29.57096600107933	66.3917970858068
63	chr1	NSL1	-	212726152	212739601	212737746	0.6500862996297494	-0.03552899593088869	0.03552899593088869	1.9931861307572882	3.1313610488183543	73.36927223719677	49.9455525606469
64	chr1	PLEKHO1	+	150158818	150160065	150159498	0.9585117143114777	-0.008269697345282934	0.008269697345282934	27.037037037037038	26.116402116402117	285.46470588235286	253.60147058823526
65	chr1	DBT	-	100186918	100196422	100194381	0.7419719951374495	0.1460400514502292	0.1460400514502292	21.941444459332708	16.513734423154226	39.493385595296424	40.3233708966193
66	chr1	GMEB1	+	28714072	28719353	28716924	0.9150506670965826	-0.0731351835393077	0.0731351835393077	19.422807739810622	19.789213668176203	46.735624123422156	40.491584852734924
67	chr1	EMC1	-	19215659	19219482	19218100	0.003655280896712247	0.12695388958235224	0.12695388958235224	128.89594428512905	92.27160999590332	403.7568740955137	479.8625180897251
68	chr1	SLC25A24	-	108134042	108136837	108134824	0.201770054829517	0.01551521515918276	0.01551521515918276	15.347826086956522	6.989769820971867	546.0437158469946	555.0914058618977
69	chr1	MDM4	+	204538208	204558120	204551973	0.7299933566133967	-0.6884869846523758	0.6884869846523758	49.38441516186758	81.77598828696925	21.98605158009444	27.86560116236832
70	chr1	SORT1	-	109309574	109314057	109313802	0.870734506517654	0.09599703477650867	0.09599703477650867	167.44678334910122	146.30014191106906	144.45098039215685	137.60392156862744
71	chr1	WARS2	-	119031215	119033388	119032851	0.9635650865933176	0.02017746479038829	0.02017746479038829	24.861858190709047	33.39364303178484	95.56052141527002	139.14525139664804
72	chr1	ELOA	+	23759511	23762059	23759902	0.8384689951966634	0.03870649266115761	0.03870649266115761	169.503013444599	151.10894761242466	339.7007672634271	328.3043478260869
73	chr1	DNAJB4	+	78016013	78017964	78017119	0.4445329943106816	-0.11533155411000617	0.11533155411000617	224.03431952662723	203.30532544378698	340.7359855334539	263.0650994575045
74	chr1	RERE	-	8352403	8355120	8354680	0.36599577249593696	-0.16058508104593316	0.16058508104593316	323.0153711023276	382.3640755379886	332.89318181818186	338.10227272727275
75	chr1	CDC7	+	91524040	91525764	91525497	0.19509251374481307	0.3483573848062148	0.3483573848062148	112.59925093632958	82.71535580524345	98.66231983527797	104.31983527796844
76	chr1	RFX5	-	151340639	151343178	151341941	0.9945628096989461	-0.015183130609234263	0.015183130609234263	406.58755760368666	369.70122887864824	308.29183508488273	277.1325788197252
77	chr1	JUN	-	58780790	58784047	58781339	0.09957917029711537	0.09929599093181535	0.09929599093181535	309.27140255009107	299.408014571949	592.7341211225996	708.7001477104875
78	chr1	SMIM12	-	34850361	34855982	34855282	0.634436857264963	-0.022522327219718044	0.022522327219718044	59.74598658809185	40.0467384677911	604.2414285714285	329.8742857142857
79	chr1	ZDHHC18	+	26853725	26857604	26855717	0.606442591504815	-0.01787262688663531	0.01787262688663531	2.0598834128245893	4.5998940116587175	147.60642570281124	144.52409638554218
80	chr1	IPO9	+	201875943	201884291	201881079	0.4200214902933046	-0.09131252846496066	0.09131252846496066	19.100871731008716	27.57565379825654	112.07593457943926	105.35494548286603
81	chr1	LUZP1	-	23083641	23089053	23084556	0.9804347536466845	0.027288613284689234	0.027288613284689234	50.08743169398907	38.08415300546448	94.10918390037804	75.42339337336
82	chr1	UHMK1	+	162522403	162529631	162524030	0.2638973609990063	-0.30467644383178927	0.30467644383178927	302.0448134261739	260.9334047491519	237.88444990780573	165.73632452366314
83	chr1	PABPC4	-	39560815	39561787	39561685	0.8176916351777026	0.011772672602067713	0.011772672602067713	663.1045977011494	1077.4367816091954	1996.156862745098	3362.598039215686
84	chr1	CCN1	+	85582739	85583950	85583706	0.009464069555925178	0.011908061909103991	0.011908061909103991	295.5081967213115	254.54098360655738	5798.558428128232	6517.618407445709
85	chr1	KLHL17	+	964962	965719	965459	0.8557181824099946	0.07016262002271934	0.07016262002271934	89.8576923076923	112.51923076923077	124.89336016096578	173.2897384305835
86	chr1	PACC1	-	212363927	212365376	212364231	0.7941006253806893	0.004690441315145286	0.004690441315145286	0.6710526315789473	0.0	143.06812227074235	98.49170305676856
87	chr1	MAGI3	+	113682211	113685923	113683677	0.9891114626309463	-0.08539104569706235	0.08539104569706235	30.44167408726625	28.14514692787177	22.120054570259214	19.256480218281034
88	chr1	LRP8	-	53242363	53247056	53246552	0.8855752691484917	0.044371545584696526	0.044371545584696526	85.6376223442349	70.70207686798759	176.2420634920635	160.12698412698413
89	chr1	NBL1	+	19656865	19658452	19658202	0.8730413230815796	-0.197793928307326	0.197793928307326	175.124	263.484	83.7958115183246	115.17501869857892
90	chr1	DEDD	-	161120973	161122523	161121349	0.13037609625129493	-0.08876728179389592	0.08876728179389592	96.20744680851064	140.56117021276594	382.84497444633723	413.33816013628626
91	chr1	GPR89A	+	145669833	145670650	145670452	0.3333445598718756	-0.05645985964954837	0.05645985964954837	6.717171717171717	9.530303030303031	135.10985460420034	89.75928917609046
92	chr1	YARS1	-	32775238	32776091	32775682	0.49188028458913424	-0.07335166841205631	0.07335166841205631	587.7882882882883	418.0765765765766	846.6308068459658	544.640586797066
93	chr1	CDC42	+	22091427	22101360	22092942	0.9232706244380443	-0.000758922523842774	0.000758922523842774	1.605607032549299	1.848776431456403	1130.7062706270626	848.4805280528053
94	chr1	LMNA	+	156139079	156140081	156139301	0.4127842457283045	0.03311206620673007	0.03311206620673007	480.78333333333336	617.5807692307692	1304.4594594594594	1841.0135135135135
95	chr1	PCNX2	-	232983434	232984477	232983710	0.6005816936739818	1.4920613418702815	1.4920613418702815	9.38768115942029	34.572463768115945	3.1681877444589315	23.5019556714472
96	chr1	TMEM183A	+	203022854	203024848	203023531	0.4288895531397737	-0.05005543140200541	0.05005543140200541	65.24145785876993	58.05618830675778	381.1137370753323	262.41063515509603
97	chr1	EIF2B3	-	44850521	44851003	44850808	0.5295205886728274	0.06994979737621713	0.06994979737621713	6.118466898954704	0.7003484320557491	64.77948717948718	28.584615384615386
98	chr1	ST6GALNAC3	+	76628619	76637339	76630849	0.7968800605079851	0.12749497960020706	0.12749497960020706	1.0178736517719569	0.00662557781201849	7.8753363228699556	3.7789237668161433
99	chr1	SRGAP2C	+	121387633	121392874	121391899	0.9541350815633237	0.15110143288754685	0.15110143288754685	36.24	33.31384615384616	25.524144397562118	26.257618377871538
100	chr1	NBPF8	+	120465977	120469676	120467819	0.5340794925023526	0.0062034644142605995	0.0062034644142605995	2.479267635971998	0.9143780290791599	289.014115092291	385.01791530944627
101	chr1	STXBP3	+	108808782	108809523	108809382	0.747612060150721	0.14296833487093208	0.14296833487093208	58.297872340425535	105.85106382978724	63.68	137.0216666666667
102	chr1	ZC3H11A	+	203852140	203854124	203852415	0.11087752065367687	-0.22152090378834	0.22152090378834	148.23229959040376	148.74019894675249	249.9090909090909	182.57818181818183
103	chr1	ABCB10	-	229516581	229518410	229516861	0.15699392478137825	0.22725004739540972	0.22725004739540972	88.62142857142857	64.71428571428571	126.78050355067785	137.1749515816656
104	chr1	MAN1A2	+	117522824	117528872	117523783	0.5011413979625325	0.2544470779444322	0.2544470779444322	37.42267636077815	20.849282766751816	49.02398331595412	40.9687174139729
105	chr1	MIER1	+	66984571	66988619	66987661	0.5722996341375403	-0.06513130447971557	0.06513130447971557	4.4050104384133615	9.093945720250522	59.82233009708738	65.53430420711975
106	chr1	CAPN2	+	223774833	223776018	223775074	0.06452353881834293	-0.04214333757149502	0.04214333757149502	1819.718220338983	2631.226694915254	3919.0414937759333	5195.219917012448
107	chr1	COX20	+	244842198	244845063	244843335	2.7421002632737284e-05	-0.34869784710642804	0.34869784710642804	204.88657407407408	288.869212962963	414.7713280562885	342.8012313104662
108	chr1	ENAH	-	225486828	225497812	225496726	0.8994381187439738	0.014833181161762687	0.014833181161762687	72.55001010305112	49.073348151141644	428.33793738489874	317.5395948434622
109	chr1	EXO1	+	241889464	241889939	241889738	0.17778217066882857	0.05975452552360459	0.05975452552360459	13.716417910447761	1.7611940298507462	172.9160583941606	89.9963503649635
110	chr1	HDGF	-	156742106	156743455	156742632	0.8776288787689254	0.04272492629692404	0.04272492629692404	3700.403041825095	2327.1787072243346	1958.5419198055897	1260.2223572296475
111	chr1	WLS	-	68125357	68126335	68125728	0.0023383012580502505	-0.28131048763447686	0.28131048763447686	356.92452830188677	391.6711590296496	519.67215815486	404.5617792421746
112	chr1	WLS	-	68098458	68098753	68098615	0.8904382061466163	0.02925666708374941	0.02925666708374941	112.3375796178344	69.35031847133757	313.4565217391304	210.71014492753625
113	chr1	NUDT17	+	145848376	145848954	145848665	6.290616054679524e-05	1.8941603448708855	1.8941603448708855	466.12456747404843	463.52941176470586	110.10380622837368	198.14532871972324
114	chr1	ZNF326	+	90027353	90035533	90027425	0.6679364935048321	-0.040631094293389375	0.040631094293389375	19.503083374444994	22.85483473112975	164.45833333333334	143.54166666666666
115	chr1	RABIF	-	202878281	202881223	202880862	0.02739362414343813	-0.14138002473931427	0.14138002473931427	104.30492057342116	95.09453700116234	404.65373961218836	238.24653739612188
116	chr1	PUM1	-	30931505	30933342	30932036	0.9000556931908708	-0.05094507361444234	0.05094507361444234	383.49905838041434	500.52730696798494	349.2166921898928	435.5765696784074
117	chr1	IBA57	+	228175121	228182257	228177364	0.6642078459670788	-1.057594450942156	1.057594450942156	32.52605763335377	40.08645003065604	15.304948729380293	12.594739188586715
118	chr1	TARS2	+	150506915	150507602	150507165	0.3540879939216002	0.09968520450178375	0.09968520450178375	389.05949656750573	373.19679633867275	500.268	550.424
119	chr1	RPL11	+	23696343	23696835	23696425	0.9538449387612127	-0.0009933910490739616	0.0009933910490739616	11.465853658536586	13.46829268292683	1523.0243902439024	1580.4634146341464
120	chr1	PGM1	+	63659585	63660245	63660121	0.8250213328765811	0.03620662994415336	0.03620662994415336	372.0806451612903	302.94354838709677	604.5093283582089	522.9458955223879
121	chr1	STK40	-	36339627	36341973	36341500	0.5805492292696658	0.20076637784760665	0.20076637784760665	104.038974906567	68.47997864388681	103.44186046511626	85.0676532769556
122	chr1	DR1	+	93360492	93369493	93362358	0.31792696936791376	-0.03709071881892452	0.03709071881892452	20.95655220742817	24.95739313244569	332.5541264737406	249.30546623794208
123	chr1	ALG14	-	94974404	94983306	94982839	0.7090202993523413	-0.01633874938193835	0.01633874938193835	1.0880853586247776	0.9492590397154712	137.017130620985	39.096359743040686
124	chr1	ZBTB8OS	-	32620819	32621948	32621837	0.08425798539823444	-0.06353824123815056	0.06353824123815056	67.70923379174853	57.5049115913556	566.4864864864865	314.1261261261261
125	chr1	SCYL3	-	169849630	169853772	169853127	0.38683517734774153	0.16403318829139774	0.16403318829139774	23.892193308550187	22.23648841864455	54.65426356589147	81.41705426356589
126	chr1	KHDRBS1	+	32042526	32043877	32043527	0.21781651362238852	0.10132616850557641	0.10132616850557641	2094.477142857143	2419.017142857143	1567.1328671328674	1958.438561438561
127	chr1	TRIT1	-	39838109	39841913	39841196	0.7021765867782783	0.012067443214484802	0.012067443214484802	6.879818594104308	4.989633948817622	222.80195258019526	265.2482566248257
128	chr1	NENF	+	212445829	212446379	212446147	0.00011780538363267194	0.09105864982889546	0.09105864982889546	145.76293103448276	102.63793103448276	707.2295597484276	892.1509433962265
129	chr1	PIGV	+	26797562	26800659	26798376	0.6362893691989351	-0.013548704532574805	0.013548704532574805	0.11388523872098116	3.05562855891371	77.16216216216216	203.37469287469287
130	chr1	KPNA6	+	32170706	32176563	32175630	0.168481513960054	-0.2656637723089288	0.2656637723089288	428.2250803858521	404.84673097534835	356.70653939886273	276.1271324126726
131	chr1	GORAB	+	170552014	170553834	170553444	0.9651298244637418	-0.009643180033506615	0.009643180033506615	2.6256410256410256	3.7384615384615385	66.57902097902098	76.17132867132867
132	chr1	CCSAP	-	229321014	229325411	229324504	0.9731358058851958	-0.041919427482001836	0.041919427482001836	42.03409742120344	43.02578796561605	67.26019845644983	64.51929437706725
133	chr1	RPF1	+	84497428	84498352	84497699	0.9951514176918719	-0.0032257562441677934	0.0032257562441677934	99.82695252679939	73.17611026033691	517.5202952029521	373.1180811808118
134	chr1	SELENOF	-	86862444	86863605	86862931	0.3157211909679375	0.02142212417263145	0.02142212417263145	335.87679671457903	196.29979466119096	2127.8100890207716	1438.8442136498516
135	chr1	KDM5B	-	202724494	202729173	202728202	0.6589701490872857	-0.04836365952977656	0.04836365952977656	16.54908306364617	22.586299892125133	127.22348094747683	126.57466529351183
136	chr1	MPC2	-	167916674	167918359	167918076	0.334420429685637	-0.014236270391066272	0.014236270391066272	52.87589158345221	53.017118402282456	1267.8798586572439	947.7420494699646
137	chr1	AKIRIN1	+	39004044	39006059	39005309	0.9396704343892306	-0.016003769096255505	0.016003769096255505	268.48133333333334	187.77866666666668	680.5256916996047	457.41185770750985
138	chr1	DTL	+	212102841	212105013	212104584	0.6461398868171229	-0.16297568752743108	0.16297568752743108	28.242424242424242	37.396270396270396	58.3356282271945	57.78944348823866
139	chr1	MRTO4	+	19258680	19260128	19259020	0.4509175547974713	0.046645779925997555	0.046645779925997555	321.7879061371841	145.68501805054152	927.8441176470587	485.34705882352944
140	chr1	PLEKHM2	+	15733796	15734769	15734521	0.4937075214385338	0.19382572406483467	0.19382572406483467	559.9959677419355	818.516129032258	298.31172413793104	486.2303448275861
141	chr1	NTPCR	+	232978162	232983882	232978748	0.5012266839082358	-0.017279975974656584	0.017279975974656584	7.695753798208025	16.809505259057264	299.4607508532423	391.1126279863481
142	chr1	SNRNP40	-	31259567	31260121	31259674	0.8600796315540082	-0.010780932993904077	0.010780932993904077	41.88785046728972	28.72897196261682	575.3064876957494	343.68680089485457
143	chr1	SIPA1L2	-	232397964	232399273	232398706	0.9187596338709706	-0.06885472433910023	0.06885472433910023	34.94743935309973	51.36927223719677	61.33156966490301	80.43209876543209
144	chr1	C1orf43	-	154211460	154212378	154211863	0.9841051081175477	-0.0035854441046891117	0.0035854441046891117	22.277915632754343	25.004962779156326	343.79223300970875	365.6446601941748
145	chr1	C1orf43	-	154206719	154207648	154206863	0.8901767170814217	0.021377572839735737	0.021377572839735737	1287.3958333333333	1841.486111111111	1433.2509554140127	2100.0980891719746
146	chr1	AGO1	+	35919498	35930532	35923051	0.7812093952102229	-0.06969244258127666	0.06969244258127666	30.596711669562893	31.319074989974602	100.68983957219251	83.83872783563186
147	chr1	RABGAP1L	+	174957890	174958187	174958090	0.9959388527437861	0.09269790145408963	0.09269790145408963	11.103092783505154	23.783505154639176	6.315000000000001	14.279999999999998
148	chr1	PTGFR	+	78536405	78540701	78539745	0.8028191874428549	0.057967816717655385	0.057967816717655385	10.680962343096235	14.780334728033473	46.59580838323353	86.30449101796407
149	chr1	SLC16A1	-	112911846	112914165	112912479	0.1984548985878768	-0.06499317468078847	0.06499317468078847	164.4391785150079	147.26698262243286	657.4317912218268	467.34104389086593
150	chr1	SPAG17	-	117953589	117963938	117960275	0.824630139979835	2.091215777246905	2.091215777246905	38.832784923721206	30.04292551600359	5.882882882882882	6.6617526617526615
151	chr1	CAMSAP2	+	200857753	200860704	200859421	0.996657010114267	0.022914666416282814	0.022914666416282814	54.77864380358535	46.81605611847233	54.37170263788969	47.54976019184652
152	chr1	SERBP1	-	67407809	67413263	67412581	0.40000922869183514	0.030592161267359697	0.030592161267359697	299.8939647946354	273.4570410729254	1161.4809384164223	1201.441348973607
153	chr1	FIRRM	+	169851816	169854080	169853270	0.09174738751729815	-0.7127775968544303	0.7127775968544303	38.06296296296296	61.71358024691358	48.2585969738652	41.101100412654745
154	chr1	PIGK	-	77088988	77092490	77092055	0.24905811122409666	0.05999504656713134	0.05999504656713134	56.401695467883926	45.70068470818389	282.39540229885057	327.06206896551726
155	chr1	PRPF38A	+	52416647	52420836	52419365	0.2598373926543719	-0.14751535694057272	0.14751535694057272	17.172671651937456	19.942895989123045	95.50441501103751	60.92678440029432
156	chr1	SARS1	+	109237730	109238182	109237946	0.019553724561609878	-0.07054202423743777	0.07054202423743777	388.97033898305085	361.58474576271186	1452.2962962962963	1068.5972222222222
157	chr1	NBPF19	+	149554494	149556361	149556071	0.9143124751894461	-0.08471635648774711	0.08471635648774711	39.289655172413795	66.25172413793103	55.22637920101459	83.2155992390615
158	chr1	PRDX6	+	173487734	173488815	173488512	0.0884851675268342	-0.09140482415422302	0.09140482415422302	793.5775577557756	836.3663366336634	1306.9203084832902	1197.1748071979434
159	chr1	NEK7	+	198319411	198322420	198321029	0.7990375647675543	-0.11877599213281664	0.11877599213281664	183.5470884255931	154.96405463695183	173.55129789864029	131.73053152039554
160	chr1	SNIP1	-	37534448	37538012	37536560	0.010327561038535563	-0.17047376139983897	0.17047376139983897	14.985795454545455	47.57717803030303	136.7293388429752	169.87258953168043
161	chr1	TPR	-	186311651	186314026	186313836	0.9284492303381452	-0.018967284504496897	0.018967284504496897	4.165217391304348	4.037070938215103	70.23684210526316	51.578947368421055
