	Chrom	Gene	Strand	Start	End	Position	p-value	Ratio Difference	Absolute ratio difference	n1: rna	n2: rna	N1: rna	N2: rna
50	chr1	ASAP3	-	23428562	23429930	23429161	0.5933631463249658	-0.0716843425414242	0.0716843425414242	46.97161936560935	68.95993322203672	41.096228868660596	45.01560468140441
51	chr1	ASH1L	-	155335267	155337751	155335824	0.023448335299509654	0.18082267957077647	0.18082267957077647	78.89407540394973	55.26211849192101	32.77529839128178	49.86403736377789
52	chr1	ASPM	-	197084126	197084426	197084280	0.7370084992829617	-0.03674378803241235	0.03674378803241235	71.98051948051948	77.71428571428571	138.8904109589041	127.82876712328768
53	chr1	ATAD3B	+	1495484	1497848	1496186	0.9039595143822623	-0.007192088922505235	0.007192088922505235	1.8929001203369435	2.0806257521058966	145.26638176638176	101.66524216524216
54	chr1	ATF6	+	161958445	161964070	161962970	0.6171391251152833	0.06568406352176054	0.06568406352176054	48.13090909090909	41.191818181818185	60.05480662983425	67.43425414364643
55	chr1	ATG4C	+	62863991	62865516	62865140	0.18271200963340556	-0.07810854779230594	0.07810854779230594	0.061170212765957445	2.622340425531915	43.691035683202784	30.360313315926888
56	chr1	ATP1B1	+	169131291	169132719	169131720	0.0036440943919187003	-0.07430383204287277	0.07430383204287277	302.0650650650651	239.81581581581582	810.3916083916085	453.62703962703966
57	chr1	ATP2B4	+	203739545	203744081	203742922	0.08847776031459885	-0.05101062715413984	0.05101062715413984	508.51941328731664	561.899913718723	382.40450103642286	341.78383180337585
58	chr1	ATP5IF1	+	28236360	28238100	28237813	0.0016995898374744139	0.031888117340720945	0.031888117340720945	2415.6864111498257	1423.4843205574914	193.6049552649688	168.9339298004129
59	chr1	ATP5PB	+	111460916	111462773	111461314	0.971837646904293	0.001172496502264933	0.001172496502264933	40.25496915695682	26.593557230980124	1930.748743718593	1354.8115577889448
60	chr1	ATPAF1	-	46632736	46635970	46635064	4.076223328196744e-06	0.09915737374751767	0.09915737374751767	87.84664948453609	35.58634020618557	437.6280353200883	487.6004415011038
61	chr1	AUNIP	-	25834005	25835846	25834844	0.20964470409695446	-0.10122844188998509	0.10122844188998509	70.82836710369487	37.18355184743743	167.22654690618765	56.06487025948104
62	chr1	AZIN2	+	33120043	33123492	33121601	0.8517201007967805	0.07829639667218649	0.07829639667218649	1.02432575356954	0.674246430460074	6.313222079589217	10.32413350449294
63	chr1	B3GALNT2	-	235447189	235450340	235449471	0.132557951290547	0.09323644600489012	0.09323644600489012	153.95574057843996	119.03856266432953	76.57422324510932	88.13003452243959
64	chr1	B3GALNT2	-	235463457	235465714	235464598	0.2664045612593955	-0.26361728139271545	0.26361728139271545	2.4101665205959684	3.6117440841367223	17.038530465949822	5.707885304659499
65	chr1	B3GALT2	-	193178729	193181682	193179584	0.977662611029574	-0.055776535017170725	0.055776535017170725	1.3099415204678362	2.245614035087719	0.1468064823641564	0.10581506196377521
66	chr1	BCAR3	-	93561740	93562419	93562106	0.6568793526943487	0.018453554253763382	0.018453554253763382	353.8661202185792	560.1530054644809	569.2779552715655	975.0447284345048
67	chr1	BCAR3	-	93581178	93582953	93582168	0.4223804471942526	0.006514561189070477	0.006514561189070477	5.458585858585859	2.9505050505050505	496.2522292993631	672.9363057324841
68	chr1	BCAS2	-	114567556	114568256	114567755	0.8732300291343136	-0.014763175860493749	0.014763175860493749	93.73869346733669	72.34673366834171	385.6626746506986	271.67664670658684
69	chr1	BCL10	-	85265775	85267982	85267475	0.47119089612870313	0.040731835471701394	0.040731835471701394	166.62470588235294	168.05764705882353	240.84023668639054	288.37475345167655
70	chr1	BCL2L15	-	113876815	113881140	113881036	0.279885978974796	-0.8058795012814614	0.8058795012814614	1.0052120350627813	1.03909026297086	4.173076923076923	0.0
71	chr1	BCL9	+	147623841	147626216	147625847	0.9196358133050055	-0.02078255713912347	0.02078255713912347	134.54471544715446	98.9159891598916	85.15852442671982	57.306081754735786
72	chr1	BEND5	-	48727518	48728043	48727886	0.8216959488371026	0.07068000493116819	0.07068000493116819	0.7065217391304348	0.6929347826086957	5.560509554140127	15.783439490445861
73	chr1	BEST4	-	44783584	44784483	44783973	0.6952288465187029	0.5965212466492761	0.5965212466492761	0.5501285347043702	2.5424164524421595	0.0	3.7588235294117647
74	chr1	BLACAT1	-	205434885	205441062	205439237	0.21559413369522626	-0.23835572984162096	0.23835572984162096	10.440946691176471	21.552619485294116	11.921643835616436	9.00767123287671
75	chr1	BLZF1	+	169386996	169396575	169394266	0.8063926060774989	-0.09229080004685314	0.09229080004685314	1.8423559982676483	3.42702468601126	12.345392022008253	11.999862448418156
76	chr1	BMP8A	+	39525648	39529869	39529177	0.9105714102402368	-0.06548644206412335	0.06548644206412335	3.258670520231214	10.13728323699422	9.620289033720603	21.68999716633607
77	chr1	BMP8B	-	39757181	39760568	39757859	0.5534104104266426	0.2719276351230814	0.2719276351230814	4.588495575221239	5.712389380530974	1.204503506829088	5.269841269841271
78	chr1	BNIPL	+	151046650	151047720	151047439	0.749576906942881	-0.45271537093906583	0.45271537093906583	0.0	2.7793594306049823	0.7604562737642585	3.3599493029150818
79	chr1	BPNT1	-	220057481	220058992	220058863	0.7560124452828241	-0.026514140869128247	0.026514140869128247	25.721418234442837	22.721418234442837	189.5891472868217	132.93023255813952
80	chr1	BROX	+	222732627	222735187	222733182	0.5372334434981825	-0.07718818764710678	0.07718818764710678	56.84738154613466	65.85635910224438	38.85765765765766	32.26486486486486
81	chr1	BTF3L4	+	52086711	52090716	52089510	0.6160936179314775	-0.017494898139698657	0.017494898139698657	7.024875621890548	11.404643449419568	226.70703822793854	228.4397999285459
82	chr1	BTG2	+	203307103	203309602	203308710	0.8373522397438151	0.12248536608723215	0.12248536608723215	8.602017937219731	5.5	2.683883011823273	3.0976975731176104
83	chr1	C1orf131	-	231223764	231224414	231224302	4.559749707669041e-05	-0.16954240391100783	0.16954240391100783	180.15985130111525	203.09479553903347	198.72321428571425	111.75892857142858
84	chr1	C1orf162	+	111477982	111478512	111478112	0.39717359927675044	-0.20542488149359978	0.20542488149359978	5.7325	21.9075	9.623076923076923	15.946153846153848
85	chr1	C1orf167	+	11789269	11789585	11789466	0.80083193200705	-0.13718966110232178	0.13718966110232178	3.5294117647058822	10.983193277310924	4.878172588832486	8.736040609137056
86	chr1	C1orf198	-	230837118	230839908	230839585	0.9117236989360884	0.01959777827760506	0.01959777827760506	70.47020672882043	129.50830968788003	103.60681114551083	206.6811145510836
87	chr1	C1orf21	+	184619517	184629019	184626914	0.18407311489178793	0.2628367071969415	0.2628367071969415	4.698812351543943	0.6299287410926366	10.563877247532783	13.360416385020955
88	chr1	C1orf43	-	154206719	154207648	154206863	0.8901767170814217	0.006000359119719523	0.006000359119719523	1287.3958333333333	1841.486111111111	1433.2509554140127	2100.0980891719746
89	chr1	C1orf43	-	154211460	154212378	154211762	0.45643565709508505	-0.023195868165329446	0.023195868165329446	14.370860927152318	23.258278145695364	294.9529220779221	310.64935064935065
90	chr1	C1orf52	-	85249952	85252702	85251901	0.6444999555270848	0.024519870845746278	0.024519870845746278	18.08260646485377	12.86198050282196	187.7378277153558	190.21223470661673
91	chr1	C1orf53	+	197907148	197907362	197907273	0.31274760823117825	0.08039484346742631	0.08039484346742631	85.78651685393258	121.29213483146067	57.872	113.42400000000002
92	chr1	C1orf54	+	150279639	150280924	150280022	0.4396814371322423	0.6594620774577337	0.6594620774577337	0.7915742793791575	2.770509977827051	0.07310704960835512	8.052219321148826
93	chr1	C1orf56	+	151050437	151051420	151050782	0.996096073605268	0.00281116928739511	0.00281116928739511	263.5423197492163	279.5626959247649	79.31594202898549	85.47246376811592
94	chr1	C1orf74	-	209779207	209783709	209782332	0.5203636391397213	-0.08794002368196338	0.08794002368196338	13.37984	18.0656	51.55846042120551	43.38634713144516
95	chr1	CA6	+	8974621	8975092	8974860	0.4561989434855217	-0.24553680072186068	0.24553680072186068	11.202586206896552	6.987068965517241	8.317991631799163	1.5397489539748959
96	chr1	CACHD1	+	64691322	64693053	64692635	0.9733307166541049	-0.02581959248567639	0.02581959248567639	18.715311004784688	14.145933014354068	28.454683929931456	19.329017517136325
97	chr1	CACYBP	+	175009922	175012027	175011518	0.032375722652487865	-0.030823843191408844	0.030823843191408844	22.18074656188605	29.94891944990177	712.218671679198	460.8045112781955
98	chr1	CAMK2N1	-	20482390	20483719	20483370	0.5866901963024292	-0.08897725156987862	0.08897725156987862	20.93877551020408	60.56122448979592	26.742120343839545	54.111747851002875
99	chr1	CAMSAP2	+	200857753	200860704	200857862	0.35908443264410883	0.0796173063162679	0.0796173063162679	53.30788177339902	45.02427867698804	86.89908256880734	104.76146788990826
100	chr1	CAMTA1	+	6887653	6888201	6887881	0.050747516492631844	-0.10557254285563572	0.10557254285563572	107.628125	90.06875	214.859649122807	114.9517543859649
101	chr1	CAMTA1	+	7766458	7769706	7767682	0.8433602712717203	0.09137362357392753	0.09137362357392753	10.36413043478261	12.757411067193676	6.679738562091504	11.932189542483659
102	chr1	CAPN2	+	223774833	223776018	223775173	0.041141964134138655	-0.02160917783360522	0.02160917783360522	1716.530177514793	2514.456804733728	3564.2205882352946	4738.85294117647
103	chr1	CAPZA1	+	112669991	112671616	112671025	0.7297030490202998	-0.012611828853337337	0.012611828853337337	1203.600676818951	916.3502538071066	1113.9845261121854	806.2882011605416
104	chr1	CAPZB	-	19338774	19342864	19340507	0.6803205800282515	0.009680056265667591	0.009680056265667591	564.267743796884	461.76976341604154	16.666525243954197	18.424692405600354
105	chr1	CASP9	-	15491400	15493035	15492293	0.9409203867882713	0.018527216440602956	0.018527216440602956	12.548712206047032	14.195968645016798	66.8989218328841	87.62398921832886
106	chr1	CATSPERE	+	244635488	244640504	244637192	0.9897335161016769	-0.6038726616343945	0.6038726616343945	0.06159420289855073	0.015398550724637682	0.09389671361502347	0.0
107	chr1	CCDC18	+	93278462	93278730	93278588	0.2578433668921332	0.35199586157286367	0.35199586157286367	3.1056338028169015	0.18309859154929578	5.095238095238095	6.674603174603175
108	chr1	CCDC181	-	169394869	169395206	169395034	0.3074318787968621	-0.5828393231178292	0.5828393231178292	1.5454545454545454	1.4363636363636363	6.226744186046512	0.40116279069767447
109	chr1	CCDC190	-	162851019	162855359	162853843	0.9328316498453191	0.062450039995234685	0.062450039995234685	0.6632436260623229	0.8781869688385269	3.937335092348285	9.86873350923483
110	chr1	CCDC30	+	42653375	42657190	42655835	0.3666495530372372	1.0	1.0	1.9940959409594097	0.0	0.0	0.012601626016260163
111	chr1	CCN1	+	85582739	85583950	85583691	0.013287713767144042	0.012195415124637031	0.012195415124637031	419.2084942084942	380.5405405405405	5851.612394957983	6582.02205882353
112	chr1	CCNL2	-	1385710	1387582	1386517	0.20946025758748957	-0.018439957015635847	0.018439957015635847	32.65179677819083	70.23296158612143	740.8046948356807	1087.668544600939
113	chr1	CCSAP	-	229321014	229325411	229322495	0.9135364065575877	0.03102664250195858	0.03102664250195858	47.49426063470628	43.87846049966239	47.10733882030178	49.2781207133059
114	chr1	CD160	+	145738485	145739288	145738883	0.963391403779658	0.043975732414643975	0.043975732414643975	11.975308641975309	7.958024691358025	10.954773869346733	8.680904522613064
115	chr1	CD1D	+	158184128	158186427	158184882	0.9886080563487692	-0.013950559626575395	0.013950559626575395	0.0	0.11779935275080906	1.623342175066313	8.326259946949602
116	chr1	CD46	+	207790252	207795516	207794519	0.15295495432683967	-0.06870760897446138	0.06870760897446138	187.3059177532598	283.84954864593783	85.41410827279117	91.85423013827045
117	chr1	CD55	+	207354006	207360966	207359500	0.9498278227497174	-0.0075602028747898675	0.0075602028747898675	11.922919508867666	13.568894952251023	0.09082635602475442	0.0
118	chr1	CDC14A	+	100484291	100485370	100484377	0.8633344848677011	-0.02394264126296811	0.02394264126296811	1.1993957703927491	1.0382678751258811	49.68604651162791	20.813953488372093
119	chr1	CDC14A	+	100504813	100520277	100507028	0.6469729970250696	-0.27701710568791815	0.27701710568791815	3.062117895690241	3.498679145595894	1.9002257336343114	0.41444695259593667
120	chr1	CDC42	+	22089942	22090807	22090112	0.39971165043223184	0.12066370417943376	0.12066370417943376	14.201438848920864	4.821582733812949	40.36470588235294	29.717647058823527
121	chr1	CDC42	+	22091427	22101360	22099526	0.7354905838423645	0.005483276924826885	0.005483276924826885	1.4716466739367502	0.22246455834242093	212.8456599580195	160.58809729596246
122	chr1	CDC42BPA	-	226989857	226994399	226993768	0.5662174796901913	-0.08777206662099435	0.08777206662099435	31.256200460240347	35.54973152646382	44.408874801901746	35.42789223454833
123	chr1	CDC42SE1	-	151050984	151054321	151052682	0.9631095842011203	0.007665256812019683	0.007665256812019683	397.15488810365133	338.9434628975265	269.0213544844418	236.99572910311167
124	chr1	CDC7	+	91524040	91525764	91525153	0.10132274351781538	0.10552148777577625	0.10552148777577625	122.45499181669395	94.2291325695581	88.94429469901168	104.67654986522909
125	chr1	CDC73	+	193250675	193254815	193254161	0.03044061736141658	0.20701215098521378	0.20701215098521378	34.096330275229356	13.814984709480122	46.95582329317269	50.84394721744119
126	chr1	CDK11A	-	1702378	1702999	1702755	0.9831742764531347	-0.004973494757588293	0.004973494757588293	126.63925729442971	135.57029177718832	379.4180327868852	395.61885245901635
127	chr1	CDK11B	-	1635224	1635856	1635612	0.9849020079565152	-0.005880762931780692	0.005880762931780692	163.3479381443299	170.51030927835052	251.84016393442627	256.5
128	chr1	CDKN2C	+	50973892	50974634	50974272	0.9746606255476091	0.0023566783385312595	0.0023566783385312595	2935.6215469613257	2126.480662983425	2520.744736842105	1843.3447368421052
129	chr1	CENPF	+	214663590	214664571	214664072	0.9574268646244424	0.014174686273502629	0.014174686273502629	18.9438877755511	19.13426853707415	93.03319502074689	104.31120331950207
130	chr1	CENPL	-	173799549	173800519	173799871	0.5022759262420758	-0.04710854128096209	0.04710854128096209	173.48757763975155	155.5776397515528	169.820987654321	126.03703703703701
131	chr1	CENPS	+	10442264	10442808	10442710	0.021607113027599743	-0.07713531461705764	0.07713531461705764	225.83673469387756	276.6530612244898	391.6053811659192	347.99103139013454
132	chr1	CENPS-CORT	+	10442264	10452153	10445582	0.6766083311203348	-0.04436029804838114	0.04436029804838114	4.215187947040024	6.882209709328869	60.03074141048825	55.700120554550935
133	chr1	CEP104	-	3812085	3815517	3814800	0.35383115160529843	-0.0683684706841621	0.0683684706841621	23.900552486187845	60.842725598526705	99.6234309623431	171.50767085076708
134	chr1	CEP170	-	243124427	243126738	243124828	0.6264655537629412	-0.08038704488551285	0.08038704488551285	26.778054862842893	49.46882793017456	32.47853403141361	43.4675392670157
135	chr1	CEP350	+	180110996	180114875	180111177	0.5453322223034094	-0.16366100845502385	0.16366100845502385	8.762574364521363	10.216603569497025	16.193370165745858	9.629834254143645
136	chr1	CEPT1	+	111184190	111185104	111184795	0.995606997065513	0.003267138208322279	0.003267138208322279	53.336569579288025	57.76699029126213	203.88099173553718	225.27603305785124
137	chr1	CERS2	-	150965185	150966288	150965398	0.07480256215899347	-0.02802762216117044	0.02802762216117044	985.4225352112676	1406.6244131455398	1737.7955056179776	2201.148314606742
138	chr1	CFAP126	-	161364732	161365150	161364826	0.7826129121847356	0.05970085795797109	0.05970085795797109	38.638297872340424	38.40425531914894	10.583333333333336	14.546296296296298
139	chr1	CHI3L2	+	111242226	111243440	111242711	0.4641236020576822	0.16631733789318548	0.16631733789318548	9.683127572016462	6.886145404663923	13.189690721649482	19.905154639175258
140	chr1	CHML	-	241628850	241636194	241630606	0.5120410762635061	-0.08308319587627022	0.08308319587627022	54.10706150341686	55.33029612756264	46.79706513958483	34.012168933428775
141	chr1	CIMAP3	+	111351258	111353017	111352269	0.6529650130452529	0.2586775256287005	0.2586775256287005	1.4237967914438503	5.169786096256685	1.427299703264095	16.30761622156281
142	chr1	CLCC1	-	108929504	108934942	108933570	0.9309810469443799	0.01710286166988184	0.01710286166988184	146.7798819478603	131.84087555336941	100.04446064139941	96.4271137026239
143	chr1	CLCN6	+	11840142	11843130	11840876	0.45353786874810365	-0.05243552116153849	0.05243552116153849	117.90372670807453	220.11889973380656	107.83787465940055	162.87602179836514
144	chr1	CLIC4	+	24840772	24844321	24842296	0.4299055608501895	-0.030436239468389692	0.030436239468389692	400.79555555555555	576.283950617284	388.74212598425197	494.7375328083989
145	chr1	CLSPN	-	35732111	35736606	35734272	0.7155382513822246	0.042235988945238306	0.042235988945238306	9.987505784359094	4.634891254049052	72.99657240788346	54.696658097686374
146	chr1	CLSTN1	-	9728925	9730705	9730000	0.8744405106899411	-0.0077297939888143485	0.0077297939888143485	815.6241860465117	982.8725581395349	1190.5531914893618	1389.5758865248224
147	chr1	CMPK1	+	47376703	47378839	47377764	0.6293929902713569	0.021309129753348033	0.021309129753348033	449.4679069767442	422.6446511627907	559.2591894439208	573.5240339302545
148	chr1	CNIH4	+	224371329	224379452	224376137	0.0070827676315323995	-0.1694930062493612	0.1694930062493612	73.51191553544494	108.15806938159879	93.16472545757073	68.9939683860233
149	chr1	CNN3	-	94896956	94898083	94897226	0.020400763786789233	0.04001145882293661	0.04001145882293661	883.3111111111111	494.3333333333333	1803.8389731621937	1217.9089848308051
150	chr1	CNR2	-	23870514	23875662	23872389	0.7738035301178304	1.0	1.0	0.40746666666666664	0.0	0.0	0.10540788267644363
151	chr1	CNST	+	246647138	246648227	246647647	0.9932812258604491	0.012277619599861733	0.012277619599861733	43.186206896551724	17.151724137931033	33.02357563850687	13.785854616895875
152	chr1	CNST	+	246665699	246668595	246666869	0.134323901027461	-0.2086400219157245	0.2086400219157245	22.267670915411355	24.155272305909616	33.03846153846153	15.361538461538462
153	chr1	COA6	+	234383722	234385080	234384781	0.11667623188893529	0.025148382147522297	0.025148382147522297	6.665551839464883	0.0	258.3833805476865	168.22568460812087
154	chr1	COA7	-	52684448	52688168	52685445	0.9275020964000064	-0.012922992572155234	0.012922992572155234	253.5767301905717	228.5827482447342	225.38927653323543	192.88578773411678
155	chr1	COG2	+	230693291	230693982	230693717	0.07918639622156017	0.13772319037948025	0.13772319037948025	58.35094339622641	20.99622641509434	100.31220657276997	70.27464788732394
156	chr1	COL16A1	-	31652262	31652853	31652608	0.23894619450837437	0.08196571402126426	0.08196571402126426	35.26300578034682	28.664739884393065	98.98775510204084	129.9673469387755
157	chr1	COPA	-	160288593	160290216	160289769	0.7167309028559827	-0.01185346740393195	0.01185346740393195	342.92942176870747	457.59098639455783	1172.2841163310961	1463.6263982102907
158	chr1	CORT	+	10451376	10451998	10451884	0.022113985059942786	-0.26632777721552214	0.26632777721552214	3.692982456140351	17.482456140350877	32.14763779527559	29.848425196850393
159	chr1	COX20	+	244842198	244845063	244843547	5.6869406494572195e-05	-0.12467259095899996	0.12467259095899996	198.5844327176781	288.3891820580475	388.86953298739803	334.8650852483321
160	chr1	CREG1	-	167541012	167542301	167541295	0.8586785471283062	-0.024892708352941828	0.024892708352941828	91.39222614840989	138.95406360424028	115.39761431411532	158.68787276341948
161	chr1	CROCC	+	16972359	16972964	16972684	0.9033305710813014	-0.0455178023156787	0.0455178023156787	18.228571428571428	55.0	7.953846153846154	19.150769230769228
