	Chrom	Gene	Strand	Start	End	Positions
38	chr1	C4BPB	+	207099788	207099993	[207099962, 207099851]
39	chr1	NENF	+	212445829	212446379	[212446120]
40	chr1	UBE4B	+	10179894	10181239	[10180584, 10180673, 10180214]
41	chr1	NTNG1	+	107480610	107484923	[107482848, 107484265, 107481839, 107482963, 107482387, 107482420, 107483444, 107483128]
42	chr1	OR6F1	-	247711435	247712817	[247711829]
43	chr1	CFHR2	+	196958880	196959622	[196959194, 196958933, 196959447]
44	chr1	C1orf141	-	67092164	67093604	[67092523, 67092413]
45	chr1	RSBN1	-	113761831	113766453	[113763456, 113763849, 113763180, 113763694, 113762642, 113765139, 113763668, 113762839, 113765336, 113763707, 113763068, 113763230]
46	chr1	RASAL2	+	178473074	178478850	[178474275, 178477923, 178474025, 178474409, 178477487]
47	chr1	NPPA	-	11845708	11846014	[11845787]
48	chr1	PGBD5	-	230314489	230323620	[230318241, 230321665, 230321671]
49	chr1	DNASE2B	+	84414527	84415018	[84414659]
50	chr1	KCND3	-	111770661	111776278	[111772618, 111773253, 111772831]
51	chr1	NEK2	-	211658255	211658712	[211658330]
52	chr1	RALGPS2	+	178916329	178921840	[178918853, 178920616, 178920622, 178917722, 178919869]
53	chr1	CNIH4	+	224371329	224379452	[224376867, 224373017, 224373927, 224376137, 224377036, 224373848, 224372377]
54	chr1	UTP25	+	209851203	209857565	[209851216, 209854041, 209852197, 209854233]
55	chr1	FMO3	+	171117099	171117819	[171117516]
56	chr1	INPP5B	-	37860696	37862430	[37862105, 37861132]
57	chr1	HOOK1	+	59872794	59876322	[59873568, 59875206, 59872967, 59875625, 59875022, 59873686, 59875704]
58	chr1	OR2G6	+	248521610	248527337	[248526112, 248523360, 248525120, 248524964, 248523401, 248526381, 248526094, 248523631, 248526130, 248524789, 248524763, 248525470]
59	chr1	SLC35D1	-	66999349	67004448	[67000347, 67000693]
60	chr1	MFN2	+	12011495	12013508	[12011503]
61	chr1	CD5L	-	157830910	157831968	[157831284, 157831550]
62	chr1	MR1	+	181050010	181050676	[181050121]
63	chr1	MR1	+	181055224	181061938	[181058022, 181058028, 181060498, 181056535, 181057719, 181058204]
64	chr1	PIGK	-	77088988	77092490	[77091715, 77090757, 77089737, 77090253, 77089711, 77092048]
65	chr1	CTPS1	+	41010160	41012565	[41010236]
66	chr1	LEPROT	+	65431802	65436007	[65432338, 65433787, 65432950]
67	chr1	PPT1	-	40071460	40074183	[40072726, 40072087]
68	chr1	TBX19	+	168312707	168314426	[168313506]
69	chr1	STX12	+	27822230	27824443	[27823459, 27823331, 27823755, 27824093]
70	chr1	RXRG	-	165400921	165401410	[165401134]
71	chr1	PPP1R8	+	27850092	27851676	[27851257]
72	chr1	PPIH	+	42667350	42676758	[42675008, 42671138, 42671460, 42674149, 42670406, 42667655, 42669387, 42671595, 42671437, 42668916, 42671449, 42673851]
73	chr1	OR14I1	-	248678137	248682324	[248679974, 248681418, 248680239, 248679474, 248679926, 248680285]
74	chr1	C1QA	+	22638832	22639678	[22638970]
75	chr1	TUT4	-	52423274	52424002	[52423419, 52423414]
76	chr1	PSMA5	-	109399041	109402090	[109400768, 109401250, 109400037, 109400326, 109399752, 109401866, 109400501]
77	chr1	GDAP2	-	117863484	117870616	[117865090, 117868009, 117865902, 117868979, 117869462, 117864569]
78	chr1	GDAP2	-	117876711	117878152	[117877886, 117877133, 117877238]
79	chr1	BTG2	+	203307103	203309602	[203308710]
80	chr1	PABPC4	-	39560815	39561787	[39561481]
81	chr1	TMEM51	+	15219325	15220478	[15219603]
82	chr1	CTSS	-	150730187	150733145	[150731040, 150730913, 150730854, 150733095, 150732401, 150732083, 150731738]
83	chr1	OMA1	-	58480718	58481174	[58480960]
84	chr1	ALG6	+	63436822	63438553	[63437185, 63438018, 63438084, 63437640, 63437807, 63437687, 63437535]
85	chr1	ZNF124	-	247121974	247123871	[247123522]
86	chr1	ZNF124	-	247154988	247157403	[247156165, 247155499, 247155965, 247156070]
87	chr1	RYR2	+	237832551	237833988	[237832649, 237833589]
88	chr1	TNFRSF9	-	7915870	7920923	[7916844, 7919862, 7918710]
89	chr1	PCNX2	-	233293978	233294503	[233294097, 233294238]
90	chr1	DENND1B	-	197504747	197510972	[197507744, 197509889, 197510402, 197508681, 197505963, 197506736, 197507349, 197507765, 197507257, 197507195, 197506526]
91	chr1	DENND1B	-	197734008	197735796	[197734917, 197734492, 197734842, 197735323, 197735292]
92	chr1	RGS7	-	240774741	240800721	[240792193, 240782594, 240788227, 240790020, 240794883, 240797059, 240788232, 240789771, 240781073, 240800274, 240794259, 240791060, 240798997, 240799122, 240798490, 240787867, 240788123, 240794526, 240798494, 240787360, 240795939, 240778917, 240798245, 240790313, 240788266, 240800181, 240792250, 240780991, 240800321, 240795842, 240785988, 240795601, 240778874, 240799190, 240778843, 240797666, 240796260, 240789096, 240779625, 240796266, 240785641, 240796270, 240791923, 240787572, 240785014, 240789238, 240783866]
93	chr1	GCSAML	+	247574142	247577690	[247576896, 247576960, 247575460, 247576393, 247575629, 247575731, 247574681]
94	chr1	GPBP1L1	-	45627303	45628408	[45627836, 45627508]
95	chr1	TAF12	-	28602849	28603574	[28603368, 28603114]
96	chr1	SFPQ	-	35182935	35184593	[35183616, 35184138, 35183772]
97	chr1	LZIC	-	9926292	9930457	[9929737, 9929298]
98	chr1	IFNLR1	-	24154167	24157891	[24155668]
99	chr1	ASPM	-	197084126	197084426	[197084280]
100	chr1	GFI1	-	92473042	92476207	[92474083, 92474412, 92475729, 92473815, 92474777, 92473788]
101	chr1	OR10K2	-	158418209	158420927	[158419408, 158418710, 158419983]
102	chr1	SCYL3	-	169849630	169853772	[169850371, 169851656, 169851086, 169853106, 169850258, 169851353, 169851005]
103	chr1	PRAMEF13	-	13196187	13197381	[13196684]
104	chr1	C4BPA	+	207144543	207144972	[207144831]
105	chr1	RPRD2	+	150470560	150476566	[150474340, 150475319, 150475345, 150474519, 150473560, 150473693, 150474878]
106	chr1	ZRANB2	-	71063290	71065752	[71063824, 71065066, 71064014, 71063968]
107	chr1	ELF3	+	202015208	202017183	[202015984]
108	chr1	CSF1	+	109925146	109930992	[109926298, 109926924]
109	chr1	L1TD1	+	62209782	62212328	[62211537, 62211811, 62210941]
110	chr1	CD1D	+	158184128	158186427	[158185537, 158184882, 158185058]
111	chr1	UBXN10	+	20190546	20196050	[20194734, 20193233, 20193460, 20194679, 20193435, 20194812, 20191806]
112	chr1	VWA5B1	+	20353756	20359518	[20354687]
113	chr1	FAM177B	+	222749920	222751004	[222750635, 222750485]
114	chr1	ATP5PB	+	111460916	111462773	[111462118, 111461314, 111461396, 111462062]
115	chr1	PTGS2	-	186671790	186674762	[186672422, 186674278, 186672908, 186674444, 186673745, 186673882]
116	chr1	LPAR3	-	84811601	84814171	[84813313, 84813859, 84813494, 84813423]
117	chr1	DMBX1	+	46512042	46516216	[46514233, 46514237]
118	chr1	DBT	-	100186918	100196422	[100194176, 100193283, 100195339, 100193550, 100191376, 100193937, 100192279, 100192919, 100188974, 100193456, 100194101, 100191545, 100193601, 100193605, 100190536, 100193609, 100193613, 100193617, 100188498, 100194782, 100194148, 100194166, 100189688, 100194171, 100189949]
119	chr1	SLC26A9	-	205913051	205915404	[205914042]
120	chr1	NBPF14	-	148531384	148533248	[148531937]
121	chr1	ACBD3	-	226144678	226146821	[226145746, 226146314, 226145789, 226146167]
122	chr1	SMIM1	+	3775794	3775956	[3775923]
123	chr1	HIVEP3	-	41506364	41511266	[41510042, 41509811]
124	chr1	KIF2C	+	44767096	44767767	[44767194]
125	chr1	EPHX4	+	92063054	92063538	[92063410]
126	chr1	MAP3K21	+	233382304	233385148	[233383912, 233384201, 233384120]
127	chr1	NBPF10	-	146064698	146066561	[146065250]
128	chr1	S100PBP	+	32855923	32858875	[32857841, 32858098, 32858370, 32856625]
129	chr1	WDR26	-	224385145	224389860	[224387011, 224389156, 224389132, 224388686, 224386067, 224386804, 224385943, 224387864, 224387486]
130	chr1	USP48	-	21678297	21679439	[21678924, 21679087, 21679250, 21679347, 21678613, 21679323]
131	chr1	USP48	-	21727850	21728719	[21728347]
132	chr1	IFI44L	+	78641774	78646145	[78642660, 78642654, 78642728, 78644948, 78645336, 78642585, 78642782]
133	chr1	VAV3	-	107571160	107573372	[107572608, 107571658, 107573331]
134	chr1	MED18	+	28334416	28335965	[28335485]
135	chr1	GBP2	-	89106131	89108291	[89107641, 89108083]
136	chr1	NAV1	+	201819836	201826969	[201825641, 201823323, 201820741, 201824350]
137	chr1	ZNF684	+	40546561	40548167	[40547622, 40547496, 40547757, 40546651, 40547517, 40547807]
138	chr1	SARS1	+	109237730	109238182	[109238105]
139	chr1	ATG4C	+	62863991	62865516	[62865248, 62864643, 62864357, 62864361, 62865140, 62864126]
140	chr1	AGO4	+	35853496	35857890	[35854497, 35855418, 35856162, 35854911]
141	chr1	NEGR1	-	71395942	71407570	[71400719, 71406751, 71401407, 71401539, 71405517, 71402959, 71404368, 71407446, 71403737, 71406170, 71405786, 71403997, 71399393, 71403490, 71403113, 71405548, 71403891, 71406072, 71405433]
142	chr1	MIA3	+	222665308	222668007	[222665856, 222666590, 222667483, 222665806]
143	chr1	CTSE	-	206009263	206010347	[206009842]
144	chr1	TRIM33	-	114392789	114397860	[114395201, 114395170, 114396163, 114395940, 114394349, 114397237, 114394518, 114396441]
145	chr1	MICOS10	+	19625391	19629820	[19626618, 19626613]
146	chr1	STX6	-	180972724	180976646	[180975276, 180975869, 180974686, 180974983]
147	chr1	JTB	-	153974268	153974835	[153974527]
148	chr1	GREM2	-	240489572	240493476	[240490513, 240491653, 240492390, 240490529]
149	chr1	ANP32E	-	150218416	150226795	[150223745, 150225345, 150223749, 150220394, 150223149, 150224787, 150223741]
150	chr1	GBP1	-	89052318	89053468	[89052660]
151	chr1	SLC35A3	+	100022385	100035634	[100026625, 100031239, 100023309, 100023437, 100026515, 100023073, 100027303, 100024616, 100023338, 100024874, 100030002, 100022839, 100028727, 100026576, 100029267, 100032085, 100026207, 100028900, 100023286, 100032381]
152	chr1	SASS6	-	100083569	100085434	[100085000, 100084740, 100084478]
153	chr1	SYNC	-	32679905	32681860	[32681010, 32680315, 32680671]
154	chr1	FNDC5	-	32862267	32864797	[32863553]
155	chr1	MPL	+	43352517	43354466	[43353919]
156	chr1	KLHDC8A	-	205336060	205337592	[205336533]
157	chr1	PPP1R12B	+	202575001	202592702	[202582914, 202588553, 202587148, 202582428, 202578208, 202578935, 202585397, 202578615, 202585785, 202582330, 202577337, 202580309, 202576855, 202579676, 202579810, 202578541, 202586995, 202583799, 202582906, 202582910]
158	chr1	ZNF644	-	90915303	90916990	[90916097, 90915877, 90916327, 90916522, 90915659, 90915787, 90916724]
159	chr1	USP1	+	62450245	62451804	[62451298, 62451229, 62451014]
160	chr1	HNRNPU	-	244850296	244854503	[244851621, 244854438, 244853674, 244851246, 244851185, 244853403]
161	chr1	PLA2G5	+	20090567	20091911	[20091141, 20091237, 20091685, 20091145, 20091531, 20091167]
162	chr1	SPATA1	+	84553034	84556495	[84554752, 84554724, 84553542, 84555274, 84554124, 84555213, 84553998, 84554284, 84554194, 84554130, 84553395, 84553461, 84554932, 84555348, 84555218]
163	chr1	SPATA1	+	84565860	84567379	[84566316, 84567055, 84567090, 84566583, 84566623]
164	chr1	TSNAX	+	231564527	231566524	[231566208, 231565404, 231566085, 231566079]
165	chr1	FPGT	+	74204390	74208702	[74204488, 74207337, 74207212, 74206801, 74207122, 74206233, 74205023]
166	chr1	NUP133	-	229440258	229442040	[229441010, 229441316]
167	chr1	PAFAH2	-	25959766	25962083	[25960784, 25960146, 25960788, 25961110]
168	chr1	TNR	-	175315193	175323476	[175316577]
169	chr1	SPTA1	-	158610703	158611389	[158610932]
170	chr1	METTL18	-	169792528	169793897	[169793349]
171	chr1	DYRK3	+	206647387	206655158	[206648099, 206653956, 206653964, 206650125, 206650994, 206650711, 206649176]
172	chr1	TTF2	+	117101379	117107453	[117102845, 117105131, 117102716, 117101989]
173	chr1	GNG4	-	235547684	235552237	[235548809, 235549877, 235550846]
174	chr1	CNN3	-	94896956	94898083	[94897226, 94897421]
175	chr1	PTPRC	+	198755905	198757476	[198757184, 198757000, 198757005, 198756848, 198757009, 198756628, 198756282, 198756990]
176	chr1	SMG7	+	183551817	183554191	[183552328, 183553203]
177	chr1	PTGFR	+	78536405	78540701	[78538786, 78539428, 78539592, 78538536, 78536907, 78536432, 78536625, 78537426, 78536851, 78538322, 78537109, 78538774, 78539736, 78538808, 78537718, 78539637]
178	chr1	DPYD	-	97077742	97079146	[97078856, 97078538, 97078880]
179	chr1	DPYD	-	97719757	97720926	[97720324, 97720489, 97720521, 97720235, 97720592]
180	chr1	OR2M3	+	248203049	248212925	[248211008, 248204234, 248208686, 248204020, 248210873, 248208698]
181	chr1	ZBED6	+	203795622	203854124	[203811328, 203816832, 203811332, 203830148, 203811336, 203828361, 203800714, 203830413, 203826831, 203826192, 203821330, 203816979, 203831317, 203824278, 203829022, 203825951, 203830048, 203825184, 203835174, 203837991, 203802536, 203825964, 203807021, 203836461, 203801519, 203829166, 203826353, 203829172, 203797685, 203831421, 203811767, 203823034, 203826362, 203803964, 203829692, 203826366, 203802047, 203800635, 203828929, 203805512, 203836234, 203816651, 203840974, 203842896, 203816146, 203828691, 203842774, 203839449, 203829730, 203803107, 203797480, 203815534, 203799154, 203805043, 203820918, 203832057, 203817467, 203818749]
182	chr1	MATN1	-	30711276	30713631	[30713173]
183	chr1	B3GALT2	-	193178729	193181682	[193180000, 193179889, 193180874, 193179584]
184	chr1	EMC1	-	19215659	19219482	[19216865, 19218237]
185	chr1	ABL2	-	179099329	179109441	[179104193, 179108397, 179102606, 179104404, 179104918]
186	chr1	CMPK1	+	47376703	47378839	[47377260, 47377764, 47377631]
187	chr1	SELENOF	-	86862444	86863605	[86863344, 86863578, 86862738, 86863356]
188	chr1	DIRAS3	-	68045961	68047362	[68046840]
189	chr1	RRP15	+	218330947	218337983	[218332481, 218331563, 218331438, 218332316, 218334386, 218332434, 218335059, 218332018, 218334965, 218335445, 218331258, 218335676, 218332766]
190	chr1	ARPC5	-	183620845	183627594	[183622556, 183626215]
191	chr1	CNR2	-	23870514	23875662	[23872417, 23872389, 23873095, 23872809, 23873241, 23872891, 23873246]
192	chr1	AMY2A	+	103625556	103625780	[103625654]
193	chr1	KCNK2	+	215234827	215237090	[215236227]
194	chr1	RABGGTB	+	75794509	75795086	[75794808, 75794779, 75794576]
195	chr1	THEM4	-	151870865	151874928	[151874313, 151874074, 151874252, 151873604]
196	chr1	TYW3	+	74763893	74766677	[74765641, 74764386]
197	chr1	CAMTA1	+	6887653	6888201	[6887881]
198	chr1	CAMTA1	+	7766458	7769706	[7768327, 7768354, 7768212, 7767682]
199	chr1	PDIK1L	+	26121836	26125555	[26121857, 26124335, 26123123, 26124856, 26124282]
200	chr1	SELE	-	169722639	169725801	[169723489, 169724901, 169723647]
201	chr1	PRDX6	+	173487734	173488815	[173487999]
202	chr1	PNRC2	+	23961439	23963462	[23962433, 23962665]
203	chr1	CEP170	-	243124427	243126738	[243124960, 243125601, 243124828]
204	chr1	VANGL1	+	115691118	115698221	[115695104, 115693674, 115696619, 115691407, 115693520, 115693969, 115696625, 115695454]
205	chr1	IBA57	+	228175121	228182257	[228178600, 228176367, 228179765, 228179350, 228179356]
206	chr1	SRGAP2C	+	121387633	121392874	[121391968, 121391075, 121388003, 121390757, 121388968, 121391852, 121389326, 121389173, 121391989, 121389271, 121391064, 121390750, 121391071]
207	chr1	GSTM3	-	109733936	109737169	[109736298, 109736523, 109736588, 109735182]
208	chr1	C1orf185	+	51147466	51148086	[51147475]
209	chr1	TSEN15	+	184072826	184074212	[184073993, 184073970, 184073933]
210	chr1	TSEN15	+	184095689	184097485	[184096341, 184096011, 184096124, 184095829]
211	chr1	BEST4	-	44783584	44784483	[44783973]
212	chr1	SDHB	-	17018721	17018958	[17018769]
213	chr1	OR6Y1	-	158544549	158549537	[158545793, 158545825, 158546755, 158546373, 158546405, 158546792, 158546768, 158548849, 158546388, 158545853]
214	chr1	TRMT13	+	100146526	100150496	[100149344, 100147042, 100147331, 100147554, 100148552, 100146984, 100148951, 100147339, 100147692, 100146864, 100147700, 100149654, 100147831]
215	chr1	CAPN2	+	223774833	223776018	[223775824, 223775818, 223775173]
216	chr1	LRIF1	-	110947189	110948399	[110948104, 110947959]
217	chr1	GBP6	+	89385229	89388160	[89386440, 89387168, 89386398]
218	chr1	ZNF669	-	247099961	247101319	[247100344, 247100289, 247101210]
219	chr1	GJA5	-	147756198	147759271	[147757115, 147756724]
220	chr1	OTUD7B	-	149937811	149945065	[149940128, 149941026, 149942662, 149943463, 149941291, 149942827, 149941580, 149942671, 149941112, 149940348, 149940029]
221	chr1	GPX7	+	52608261	52609051	[52608886]
222	chr1	RNF2	+	185100199	185102603	[185101030, 185100361, 185100208, 185101139, 185102040]
223	chr1	SLC19A2	-	169463908	169465977	[169464952, 169465021]
224	chr1	NBPF1	-	16562422	16564186	[16562875]
225	chr1	RCOR3	+	211313423	211316385	[211313777, 211315751]
226	chr1	HJV	-	146017469	146018700	[146017998]
227	chr1	ATPAF1	-	46632736	46635970	[46633928, 46635148, 46633298, 46633365, 46635064]
228	chr1	LAMC1	+	183142533	183145592	[183142960, 183142997, 183143309]
229	chr1	TLCD4	+	95191549	95197607	[95193921, 95192418, 95194462, 95194564, 95194756, 95192332, 95195444, 95194583, 95194264, 95195705, 95194938, 95195388, 95194685, 95191870, 95195359]
230	chr1	ST6GALNAC3	+	76576845	76577209	[76576933]
231	chr1	ST6GALNAC3	+	76628619	76637339	[76632290, 76630466, 76634661, 76632233, 76634218, 76635403, 76635599, 76630864, 76630929, 76630994, 76635504, 76631700, 76632863, 76629912, 76634585, 76630653, 76631487]
232	chr1	LRRC38	-	13474972	13476099	[13475313]
233	chr1	UHMK1	+	162522403	162529631	[162528451, 162526534, 162528263, 162528488, 162527695, 162525077, 162527446, 162523672, 162524670, 162526111]
234	chr1	CELA2A	+	15471989	15472091	[15472073]
235	chr1	C1orf56	+	151050437	151051420	[151050782]
236	chr1	RNPC3	+	103551720	103555239	[103551808, 103551938, 103552899, 103553250, 103551818, 103552111, 103551792, 103551856, 103554451, 103554710, 103552471, 103552440, 103551964, 103552382]
237	chr1	MROH9	+	170998153	170998806	[170998603]
238	chr1	HHAT	+	210674287	210676290	[210675108]
239	chr1	SRGAP2B	-	144887287	144892381	[144890689, 144888164, 144891047, 144889258, 144888941, 144892014, 144888945, 144889265, 144890744, 144890842, 144888952]
240	chr1	MTF1	-	37809573	37815566	[37813792, 37811561, 37811566, 37811577, 37810842, 37811453]
241	chr1	NHLH2	-	115836376	115838380	[115837421, 115837398]
242	chr1	PYDC5	-	158999970	159002751	[159000736, 159001025, 159002656, 159001413, 159002663, 159002130, 159002429, 159002719]
243	chr1	HSD11B1	+	209734303	209734929	[209734782]
244	chr1	RD3	-	211476521	211479327	[211477767]
245	chr1	CSMD2	-	33513997	33519677	[33517121, 33518826, 33516721, 33515893, 33517017, 33517116]
246	chr1	AHCYL1	+	110021673	110023742	[110023199]
247	chr1	FOXD2	+	47438043	47440691	[47439880]
248	chr1	ZMYM6	-	34986164	34988935	[34988194, 34988198, 34987654, 34988521, 34986890, 34987946, 34986998, 34987703]
249	chr1	LCE1E	+	152787277	152788426	[152787904]
250	chr1	MEX3A	-	156072012	156077682	[156074241, 156074370]
251	chr1	EGLN1	-	231363755	231367636	[231366338, 231364647, 231365932, 231366445, 231366716]
252	chr1	PRDM16	+	3433676	3438621	[3437760, 3437764, 3437768, 3437772, 3437776]
253	chr1	POU2F1	+	167415499	167427345	[167421313, 167416034, 167421766, 167418919, 167417495, 167420938, 167420523, 167415884, 167420107, 167420882, 167421365, 167422711, 167419897, 167416091]
254	chr1	VANGL2	+	160425117	160428670	[160426685]
255	chr1	AK4	+	65226062	65232145	[65227204, 65229674, 65228083, 65228664, 65230456, 65231065, 65227482, 65228701, 65226968]
256	chr1	HEATR1	-	236549004	236550990	[236549849, 236550049]
257	chr1	TAF1A	-	222557901	222558772	[222558336]
258	chr1	MMACHC	+	45508795	45513382	[45510122, 45511731, 45511039]
259	chr1	IL12RB2	+	67395546	67398724	[67396633]
260	chr1	GOLPH3L	-	150646229	150648748	[150646723, 150648104, 150648328, 150647082, 150646699]
261	chr1	HMGCS2	-	119747995	119750908	[119750516]
262	chr1	TGFBR3	-	91680342	91683857	[91682483, 91681559]
263	chr1	GATAD2B	-	153804724	153810310	[153807798]
264	chr1	TRIM67	+	231215374	231221565	[231218632]
265	chr1	ZZZ3	-	77562415	77565784	[77565353, 77564689, 77564275, 77564533, 77563739, 77565277, 77563871]
266	chr1	ARL8A	-	202133403	202134516	[202134286]
267	chr1	RPS8	+	44778575	44778779	[44778717, 44778687]
268	chr1	PRRC2C	+	171591586	171593511	[171592784]
269	chr1	PTPN14	-	214348699	214358050	[214354916, 214356516, 214352106, 214352669, 214354894, 214356271, 214352253]
270	chr1	CTRC	+	15446574	15449242	[15447956, 15446636]
271	chr1	CDC14A	+	100484291	100485370	[100484377, 100484745, 100485107, 100484740]
272	chr1	CDC14A	+	100504813	100520277	[100514944, 100514564, 100516235, 100512653, 100507028, 100516247, 100507160, 100514074, 100517660, 100513060, 100512680, 100513067, 100507056, 100505136, 100513330, 100512309, 100505143, 100514105, 100504897, 100512858, 100517854, 100513250, 100510436, 100514025, 100514283, 100516085, 100512508]
273	chr1	ZNF281	-	200404950	200409723	[200406817, 200406297, 200405838, 200407925, 200405913]
274	chr1	NUDT17	+	145848376	145848954	[145848577]
275	chr1	ZBTB37	+	173873466	173903547	[173896067, 173877891, 173878930, 173877909, 173880725, 173884694, 173879195, 173892792, 173883066, 173891260, 173883711, 173878081, 173873730, 173881411, 173880262, 173893446, 173887436, 173879372, 173882830, 173883852, 173896284, 173874786, 173875044, 173876198, 173897064, 173889132, 173894255, 173897465, 173878522, 173895422]
276	chr1	RIT1	-	155897807	155900618	[155898781]
277	chr1	AP4B1	-	113894193	113895492	[113894768, 113895073]
278	chr1	SLC30A1	-	211571567	211576289	[211575425, 211574820, 211575053, 211572817, 211575701, 211574327, 211574303]
279	chr1	NBPF8	+	120465977	120469676	[120467291, 120467725, 120467830]
280	chr1	ASTN1	-	176861066	176864521	[176863609]
281	chr1	KCNAB2	+	6098484	6101180	[6098545]
282	chr1	COL24A1	-	85729232	85730692	[85730445]
283	chr1	E2F2	-	23506437	23510148	[23508873]
284	chr1	C8A	+	56917564	56918223	[56918090, 56917988]
285	chr1	UTP11	+	38023544	38024820	[38023786]
286	chr1	F3	-	94529172	94530596	[94529536]
287	chr1	GBP5	-	89256188	89260817	[89260608, 89257537, 89257570, 89258852, 89257541, 89258364, 89259357]
288	chr1	CLCC1	-	108929504	108934942	[108933570, 108932752, 108932531, 108933050, 108932317]
289	chr1	ACOT11	+	54634687	54639192	[54635456, 54638273, 54635492, 54637990, 54635082, 54637996, 54637107, 54638007, 54635546]
290	chr1	EFCAB14	-	46675158	46678636	[46677931, 46676588, 46676812, 46678203, 46676574]
291	chr1	PARP1	-	226360690	226361541	[226361020]
292	chr1	BCL2L15	-	113876815	113881140	[113878849, 113879844, 113877757, 113878187, 113881036, 113878348, 113880180, 113878616, 113878845]
293	chr1	EDEM3	-	184690236	184694472	[184691657, 184693681, 184691324]
294	chr1	UBAP2L	+	154270880	154271510	[154270976, 154271278]
295	chr1	OR2T5	+	248488588	248491113	[248490539, 248490021, 248490459, 248490439]
296	chr1	NMNAT2	-	183248236	183252743	[183249058, 183250609, 183250686, 183250342]
297	chr1	JMJD4	-	227731190	227732676	[227732321]
298	chr1	CTH	+	70439100	70439851	[70439553, 70439661, 70439190]
299	chr1	CDC42SE1	-	151050984	151054321	[151052682]
300	chr1	TRIM11	-	228393675	228395252	[228394101]
301	chr1	TNN	+	175146930	175148075	[175147756, 175147597]
302	chr1	CD46	+	207790252	207795516	[207791873, 207794468, 207792903, 207792296, 207790344, 207793640, 207792589, 207794519, 207793848, 207791033, 207792702]
303	chr1	ATF6	+	161958445	161964070	[161962970, 161960069, 161958796, 161959732, 161961658]
304	chr1	FAM72B	-	121167645	121168835	[121168319, 121168210, 121168388, 121168215]
