	Chrom	Gene	Strand	Start	End	Positions
78	chr20	MKKS	-	10401008	10405687	[10403854]
79	chr20	SCAND1	-	35953623	35955102	[35953637, 35953759, 35955021]
80	chr20	ATRN	+	3615827	3616058	[3616007]
81	chr20	ATRN	+	3646722	3651118	[3651104, 3650999, 3650897]
82	chr20	LOC128706666	-	10413707	10413931	[10413728]
83	chr20	SNRPB2	+	16740845	16742564	[16741217, 16741732, 16741459, 16741595]
84	chr20	PRPF6	+	64032840	64033100	[64033099, 64032980]
85	chr20	SLA2	-	36612317	36613986	[36612317]
86	chr20	TLDC2	+	36889250	36894235	[36889870, 36890364, 36890634, 36891122, 36891798]
87	chr20	MRPS26	+	3047734	3048250	[3048249, 3048037]
88	chr20	ZNF217	-	53567070	53571853	[53567076, 53567252]
89	chr20	MGME1	+	17989938	17991122	[17991115, 17990682]
90	chr20	ZHX3	-	41178454	41201384	[41178472, 41184395, 41182225, 41199582, 41179656, 41196061, 41193756]
91	chr20	UCKL1	-	63939828	63940055	[63939840]
92	chr20	RRBP1	-	17613678	17614220	[17613681, 17614104]
93	chr20	RBM39	-	35701346	35704581	[35703622, 35704386]
94	chr20	ZNF335	-	45948659	45949080	[45948664]
95	chr20	SRXN1	-	646614	648917	[646626]
96	chr20	JPH2	-	44106589	44114876	[44111699]
97	chr20	DNAJC5	+	63931464	63936011	[63936010, 63934041, 63935261]
98	chr20	TPD52L2	+	63889849	63891538	[63891537, 63891177, 63890289]
99	chr20	ZNF343	-	2481816	2484656	[2481829, 2481970]
100	chr20	MCM8	+	5994298	5998977	[5994743, 5995133, 5995752]
101	chr20	PLTP	-	45898619	45899063	[45898619, 45898970]
102	chr20	ZGPAT	+	63735780	63736142	[63736133]
103	chr20	FITM2	-	44302839	44307240	[44302847, 44306625]
104	chr20	COL9A3	+	62840541	62841159	[62841080]
105	chr20	SERINC3	-	44496220	44500434	[44499207, 44499895, 44498845, 44499455, 44497703, 44498043, 44496277]
106	chr20	ELMO2	-	46366049	46367560	[46366056, 46366196]
107	chr20	CPNE1	-	35626043	35626381	[35626044]
108	chr20	MAPRE1	+	32848671	32850405	[32850403, 32850250, 32849158]
109	chr20	SAMD10	-	63974115	63975532	[63974134]
110	chr20	ZNF337	-	25673194	25677037	[25674157]
111	chr20	PCED1A	-	2835313	2835709	[2835315]
112	chr20	PEDS1	-	50118253	50125179	[50124171, 50123778, 50123286, 50123862, 50118264]
113	chr20	MTCL2	-	36777446	36786637	[36781853, 36777459, 36783770]
114	chr20	NCOA3	+	47653405	47656872	[47654742, 47656871, 47655785, 47656545, 47653712]
115	chr20	NELFCD	+	58994641	58995113	[58995112]
116	chr20	OGFR	+	62812229	62814000	[62813999]
117	chr20	RBCK1	+	410411	410764	[410758]
118	chr20	RBCK1	+	430349	432139	[430917]
119	chr20	PCNA	-	5114952	5115362	[5114953, 5115128]
120	chr20	ENTPD6	+	25225498	25228075	[25226712, 25226283]
121	chr20	SDC4	-	45325287	45327415	[45325288, 45325818, 45326528, 45326042, 45326656]
122	chr20	NSFL1C	-	1442165	1443911	[1442173, 1443500]
123	chr20	ERGIC3	+	35557424	35557634	[35557626]
124	chr20	LIME1	+	63738182	63739103	[63739094]
125	chr20	AURKA	-	56369389	56370340	[56369394, 56369631]
126	chr20	PSMF1	+	1165028	1172246	[1165473, 1167321]
127	chr20	CBFA2T2	+	33644346	33650030	[33650004, 33649791, 33649056]
128	chr20	GDF5	-	35433346	35434783	[35433350]
129	chr20	PIGU	-	34560541	34560979	[34560683, 34560869]
130	chr20	PFDN4	+	54219018	54219961	[54219467, 54219597, 54219205, 54219938]
131	chr20	CCN5	+	44727086	44727811	[44727794]
132	chr20	MYL9	+	36549076	36551447	[36549816]
133	chr20	CABLES2	-	62388633	62391111	[62388880, 62388657]
134	chr20	ZSWIM1	+	45882532	45885266	[45885261]
135	chr20	PARD6B	+	50749658	50753741	[50752305]
136	chr20	TNFRSF6B	+	63698279	63698684	[63698683]
137	chr20	NINL	-	25452696	25453642	[25452930, 25452700, 25452820]
138	chr20	ACOT8	-	45841720	45841956	[45841727, 45841827]
139	chr20	PDRG1	-	31944336	31945889	[31944965, 31945307]
140	chr20	AP5S1	+	3823870	3828838	[3825299, 3824936]
141	chr20	IFT52	+	43646935	43647299	[43647211]
142	chr20	PMEPA1	-	57648395	57652598	[57651883, 57651399, 57651108]
143	chr20	ZMYND8	-	47209213	47210897	[47210441, 47209366, 47210770, 47209493]
144	chr20	APMAP	-	24962924	24964022	[24962938, 24963564]
145	chr20	CEBPB	+	50190582	50192690	[50192678]
146	chr20	NOP56	+	2657928	2658393	[2658392, 2658016]
147	chr20	PCIF1	+	45947523	45948020	[45947938]
148	chr20	EIF6	-	35278905	35279206	[35278907]
149	chr20	YTHDF1	-	63195428	63196734	[63195429, 63195770, 63196511]
150	chr20	RBM38	+	57407542	57409333	[57409332]
151	chr20	POFUT1	+	32234472	32238658	[32235247, 32237957, 32238494, 32236725, 32235066, 32238613, 32237343, 32238103, 32238239]
152	chr20	ZNF133	+	18315068	18316996	[18316759, 18316953]
153	chr20	SOX12	+	325551	330224	[328757, 330178, 328540]
154	chr20	MAVS	+	3865682	3876118	[3867322, 3875475, 3867576, 3875279, 3867068, 3876112, 3870660, 3874695]
155	chr20	ACTR5	+	38771558	38772520	[38772179]
156	chr20	DYNLRB1	+	34534627	34535587	[34534755]
157	chr20	DYNLRB1	+	34540433	34540958	[34540952, 34540770]
158	chr20	UBE2C	+	45815853	45816952	[45816951, 45816767]
159	chr20	STK35	+	2116665	2148555	[2148553, 2148338]
160	chr20	SNAI1	+	49987871	49988886	[49988857]
161	chr20	PYGB	+	25296369	25298012	[25297998, 25297293, 25297815]
162	chr20	EEF1A2	-	63488013	63488425	[63488015]
163	chr20	NCOA5	-	46060990	46062889	[46061001, 46061207]
164	chr20	PET117	+	18142207	18143169	[18143095, 18142933, 18142251]
165	chr20	CSE1L	+	49096175	49096949	[49096948, 49096589]
166	chr20	MANBAL	+	37302279	37317260	[37317242]
167	chr20	EDEM2	-	35115363	35115933	[35115366]
168	chr20	ID1	+	31605288	31606510	[31606509, 31605813]
169	chr20	DBNDD2	+	45408800	45410610	[45410603]
170	chr20	MMP24OS	-	35276351	35277932	[35276362, 35276925, 35277330]
171	chr20	CTSA	+	45898366	45898820	[45898819]
172	chr20	PANK2	+	3923243	3929887	[3929882, 3923879, 3926933, 3923484]
173	chr20	FERMT1	-	6074844	6077346	[6074867, 6076088]
174	chr20	GMEB2	-	63587604	63590729	[63587604]
175	chr20	XRN2	+	21389272	21389825	[21389817, 21389515]
176	chr20	B4GALT5	-	49632944	49636459	[49632945, 49633443, 49633227]
177	chr20	KAT14	+	18187285	18188035	[18188034]
178	chr20	FAM217B	+	59943939	59948680	[59944811, 59948562, 59948037, 59948670, 59947531, 59948423]
179	chr20	RIMS4	-	44751807	44756352	[44751811]
180	chr20	SS18L1	+	62179181	62182514	[62182457]
181	chr20	HELZ2	-	63558085	63559370	[63558559, 63558097]
182	chr20	TCFL5	-	62841004	62842097	[62841004, 62841112, 62841205]
183	chr20	TCFL5	-	62851489	62852888	[62851505]
184	chr20	PABPC1L	+	44938673	44939316	[44939313]
185	chr20	FASTKD5	-	3146518	3149260	[3146528]
186	chr20	TTPAL	+	44489262	44494603	[44494602, 44494329, 44492753, 44491454, 44491064, 44490585]
187	chr20	COMMD7	-	32702698	32703458	[32702699]
188	chr20	ADISSP	-	3753507	3754158	[3753508, 3753630, 3753744, 3753880]
189	chr20	GGT7	-	34844719	34845491	[34844721]
190	chr20	NPEPL1	+	58715167	58715844	[58715387, 58715620, 58715843]
191	chr20	SLC2A4RG	+	63742878	63744050	[63744044, 63743555]
192	chr20	PLCB4	+	9478920	9480808	[9480463]
193	chr20	ATP5F1E	-	59025474	59030429	[59028680, 59030303, 59025557]
194	chr20	TUBB1	+	59023704	59026654	[59025649]
195	chr20	TCF15	-	604256	604665	[604260]
196	chr20	SNX21	+	45840638	45843276	[45841956, 45841701, 45841824, 45842814]
197	chr20	DIDO1	-	62877742	62882414	[62877748, 62878163, 62877865, 62878399]
198	chr20	DIDO1	-	62887213	62891155	[62887231]
199	chr20	DIDO1	-	62905005	62906100	[62905033]
200	chr20	FKBP1A	-	1368977	1372240	[1368978, 1369892, 1371748]
201	chr20	SNTA1	-	33407956	33408599	[33407965]
202	chr20	SIRPA	+	1937319	1940592	[1939885, 1939666, 1938447]
203	chr20	CTNNBL1	+	37871924	37872118	[37872117]
204	chr20	BLCAP	-	37517416	37519350	[37517419, 37517602, 37517763]
205	chr20	RPN2	+	37241302	37241619	[37241612]
206	chr20	ZNFX1	-	49245899	49249711	[49245917]
207	chr20	SEC23B	+	18560650	18561415	[18561116, 18560856]
208	chr20	YWHAB	+	44906381	44908532	[44906526, 44906865, 44908521, 44907445, 44907807, 44906664, 44907105, 44908179]
209	chr20	ATP9A	-	51596513	51601347	[51596813]
210	chr20	PPDPF	+	63521667	63522206	[63522190]
211	chr20	SAMHD1	-	36889772	36893929	[36889789, 36890240, 36890472, 36890928, 36891712]
212	chr20	LAMA5	-	62309064	62309475	[62309080]
213	chr20	SLC9A8	+	49887828	49892242	[49890348, 49892232]
214	chr20	CSNK2A1	-	472497	484076	[481545, 481099, 482693, 483804, 472530, 481629, 474578]
215	chr20	LOC128706665	-	10413707	10420758	[10413728, 10420528]
216	chr20	NAPB	-	23374521	23377486	[23375134, 23374572]
217	chr20	UQCC1	-	35302577	35304069	[35302578, 35303497, 35302778]
218	chr20	TGM2	-	38127384	38130369	[38128477]
219	chr20	MAP1LC3A	+	34559735	34560345	[34560338]
220	chr20	PEDS1-UBE2V1	-	50081123	50082914	[50081125, 50081366, 50082565, 50081651, 50082777]
221	chr20	PXMP4	-	33702757	33707969	[33705949, 33704121, 33707669]
222	chr20	TP53INP2	+	34710057	34713436	[34713426]
223	chr20	DNAAF9	-	3249305	3252684	[3251168]
224	chr20	CST3	-	23626705	23633999	[23633658]
225	chr20	RAB22A	+	58359605	58367507	[58367445, 58366622, 58360732]
226	chr20	STX16	+	58676186	58679526	[58679481, 58678642, 58678450]
227	chr20	TRIB3	+	396197	397559	[397545]
228	chr20	TMX4	-	7977345	7982621	[7977712, 7982509, 7977358, 7978378, 7981085]
229	chr20	TCEA2	+	64072171	64072347	[64072346]
230	chr20	SNRPB	-	2461641	2461939	[2461642]
231	chr20	RALGAPB	+	38574773	38578858	[38578055, 38578850, 38575768, 38575530]
232	chr20	STK4	+	45053085	45080021	[45079838, 45079978, 45079658, 45079220, 45078930, 45078151, 45075533]
233	chr20	NEURL2	-	45888633	45888887	[45888653]
234	chr20	SLC35C2	-	46345983	46350524	[46349655, 46350061]
235	chr20	DTD1	+	18744099	18766644	[18763900, 18763419, 18744455]
236	chr20	PRNP	+	4699210	4701588	[4701587]
237	chr20	BMP2	+	6778244	6780246	[6779142, 6779949]
238	chr20	STAU1	-	49113338	49114893	[49113342, 49113456, 49113859]
239	chr20	SALL4	-	51782330	51784684	[51784134]
240	chr20	NOL4L	-	32443058	32447816	[32447193, 32443112]
241	chr20	FAM210B	+	56366070	56368663	[56368659, 56366465, 56368337]
242	chr20	ADRM1	+	62308654	62308862	[62308861]
243	chr20	DSTN	+	17607036	17609919	[17608242, 17608610, 17608005, 17607337]
244	chr20	NECAB3	-	33657086	33657857	[33657109]
245	chr20	CRNKL1	-	20034367	20036362	[20036290, 20035905, 20034889, 20036116, 20035369]
246	chr20	CDK5RAP1	-	33358838	33359123	[33358841]
247	chr20	MOCS3	+	50958817	50963929	[50961082, 50961571]
248	chr20	ZNF512B	-	63956703	63960139	[63956704, 63958372, 63956887]
249	chr20	DDRGK1	-	3190349	3190819	[3190540, 3190352, 3190697]
250	chr20	LZTS3	-	3162616	3165152	[3162669, 3162777]
251	chr20	SLX4IP	+	10622658	10628030	[10623348, 10628029]
252	chr20	SLC23A2	-	4852357	4857204	[4852369, 4852458]
253	chr20	ABHD12	-	25294742	25295030	[25294756]
254	chr20	ABHD12	-	25300213	25300884	[25300215]
255	chr20	PTPN1	+	50582691	50585241	[50584549, 50584758]
256	chr20	IDH3B	-	2658394	2658837	[2658397, 2658761]
257	chr20	DNTTIP1	+	45811056	45811418	[45811413]
258	chr20	RGS19	-	64073180	64074044	[64073193, 64073341]
259	chr20	ESF1	-	13714324	13715167	[13714332, 13715080]
260	chr20	MACROD2	+	16049829	16053197	[16050033]
261	chr20	ACSS1	-	25006236	25007941	[25006243]
262	chr20	PLAGL2	-	32192503	32197682	[32195619, 32192528]
263	chr20	TAF4	-	61974797	61976335	[61974830]
264	chr20	GSS	-	34928431	34928951	[34928433, 34928528]
265	chr20	ITCH	+	34507694	34511773	[34511372, 34508638, 34511277, 34507976, 34510427]
266	chr20	FAM110A	+	844642	846277	[846276]
267	chr20	RIN2	+	20000612	20002456	[20002433, 20001689, 20001899, 20001529, 20002148]
268	chr20	RPS21	+	62388456	62388520	[62388519]
269	chr20	PRELID3B	-	59033144	59035126	[59034246, 59033146, 59033474, 59034906]
270	chr20	LSM14B	+	62133289	62135374	[62135373, 62134417]
271	chr20	TMEM230	-	5099849	5100931	[5099851, 5100217]
272	chr20	AHCY	-	34280267	34281165	[34280271]
273	chr20	TOP1	+	41123194	41124487	[41124325, 41124179, 41124479]
274	chr20	C20orf96	-	270862	271267	[270864]
275	chr20	RAB5IF	+	36611991	36612557	[36612555]
276	chr20	RALY	+	34078504	34084884	[34080261, 34083195]
277	chr20	DSN1	-	36751794	36752897	[36751819, 36752058]
278	chr20	NCOA6	-	34714773	34715365	[34714800, 34715008]
279	chr20	SYS1	+	45366874	45369209	[45368121, 45369205, 45367451, 45367366]
280	chr20	UBE2V1	-	50081123	50082914	[50081125, 50081366, 50082565, 50081651, 50082777]
281	chr20	SPAG4	+	35620875	35621094	[35621031]
282	chr20	AAR2	+	36255577	36256933	[36256927, 36256788]
283	chr20	MYBL2	+	43715958	43716482	[43716481]
284	chr20	BFSP1	-	17493904	17495029	[17493915]
285	chr20	CHD6	-	41402082	41405489	[41402680]
286	chr20	TM9SF4	+	32165294	32167256	[32167247, 32165532, 32165757]
287	chr20	SRC	+	37403170	37406050	[37405423]
288	chr20	SLC4A11	-	3227421	3227856	[3227432, 3227555]
289	chr20	SMOX	+	4187269	4187727	[4187609, 4187714]
290	chr20	STMN3	-	63639711	63641397	[63639711]
291	chr20	ZFP64	-	52084010	52085266	[52084019]
292	chr20	ZFP64	-	52151277	52153428	[52151321, 52151570]
293	chr20	MAFB	-	40685847	40689236	[40687002, 40686079]
294	chr20	ARFRP1	-	63698646	63700702	[63699458, 63700282, 63700416, 63698707]
295	chr20	ADNP	-	50888917	50894512	[50889064, 50890351]
296	chr20	GNAS	+	58839747	58911192	[58911191, 58896630, 58893279, 58894507, 58908800, 58910910, 58890178]
297	chr20	DPM1	-	50934854	50935236	[50935114, 50934867]
298	chr20	MMP24-AS1-EDEM2	-	35115363	35115933	[35115366]
299	chr20	GZF1	+	23370090	23373062	[23373031, 23372246, 23371735, 23370891]
300	chr20	OSER1	-	44195938	44197739	[44196504, 44197036, 44195945, 44196862, 44196305]
301	chr20	VPS16	+	2866429	2866732	[2866717]
302	chr20	TOMM34	-	44942129	44943213	[44942140, 44942543]
303	chr20	EMILIN3	-	41359961	41363054	[41360396, 41360245]
304	chr20	PIGT	+	45425573	45426241	[45426240]
305	chr20	CSTF1	+	56403467	56406362	[56404096, 56406357, 56404241]
306	chr20	CEP250	+	35511362	35519280	[35511950, 35517501]
307	chr20	GPCPD1	-	5544438	5547850	[5546463, 5546552, 5546646, 5544512]
308	chr20	RAE1	+	57378012	57379202	[57378456, 57379194]
309	chr20	ZNF341	+	33790987	33792269	[33792257]
310	chr20	KIF3B	+	32331222	32335011	[32333626, 32334990]
311	chr20	FLRT3	-	14322984	14327558	[14325154]
312	chr20	E2F1	-	33675476	33676979	[33675684, 33676178, 33676394, 33675787]
313	chr20	MATN4	-	45293449	45294015	[45293475]
314	chr20	SLCO4A1	+	62671749	62672293	[62672210]
315	chr20	RBM12	-	35648924	35655344	[35650152, 35652014, 35650305, 35650484, 35651834, 35649870, 35648958, 35653450, 35655129]
316	chr20	RTEL1	+	63695777	63696253	[63696163]
317	chr20	MMP24	+	35274271	35276998	[35276653, 35276997]
318	chr20	RBL1	-	36996348	36998929	[36996360]
319	chr20	NXT1	+	23353980	23354771	[23354740, 23354488]
320	chr20	RTF2	+	56518086	56519449	[56518878, 56518468]
321	chr20	MRGBP	+	62799455	62801729	[62800058, 62800606]
322	chr21	ETS2	+	38822673	38824955	[38823802, 38824948, 38823426, 38823575]
323	chr21	BACH1	+	29342398	29346148	[29345825, 29345956, 29346068]
324	chr21	SON	+	33557545	33559066	[33558945]
325	chr21	SON	+	33559876	33560667	[33560586]
326	chr21	SON	+	33576364	33577481	[33577164, 33577477, 33577308]
327	chr21	ATP5PO	-	33903452	33903639	[33903453]
328	chr21	LOC102724594	-	6484622	6484916	[6484633]
329	chr21	CHODL	+	18265953	18267370	[18267314]
330	chr21	SLC19A1	-	45512546	45516140	[45512546, 45514719, 45515176, 45513554, 45515336]
331	chr21	APP	-	25880549	25881771	[25880554, 25881149, 25880807]
332	chr21	PDXK	+	43755950	43762299	[43756075, 43762288, 43756244, 43762103, 43758947]
333	chr21	TTC3	+	37201439	37203118	[37203099]
334	chr21	N6AMT1	-	28872190	28876491	[28873442]
335	chr21	C2CD2	-	41885111	41889344	[41885112, 41885198, 41886309]
336	chr21	CRYZL1	-	33589340	33589921	[33589590]
337	chr21	MCM3AP	-	46235132	46235426	[46235147]
338	chr21	RIPPLY3	+	37017873	37019662	[37019501]
339	chr21	LOC102723553	+	7754951	7772245	[7755026, 7758606, 7772182]
340	chr21	DONSON	-	33577550	33578444	[33577911]
341	chr21	MIS18A	-	32268227	32269117	[32268241, 32268954]
342	chr21	RUNX1	-	34787800	34792610	[34788296, 34788613, 34791780, 34787838, 34788431, 34791341]
343	chr21	RCAN1	-	34516441	34518256	[34516484, 34516757, 34516654, 34516862, 34518171]
344	chr21	RCAN1	-	34521070	34521658	[34521499]
345	chr21	SIK1	-	43414482	43417117	[43414527]
346	chr21	BACE2	+	41275370	41282530	[41275817]
347	chr21	PWP2	+	44130596	44131181	[44131069, 44131173, 44130940]
348	chr21	ATP5PF	-	25724499	25724677	[25724505]
349	chr21	CYYR1	-	26466215	26468634	[26466235]
350	chr21	AGPAT3	+	43982303	43987592	[43987001, 43985331, 43987131, 43984661, 43986524, 43986375, 43982384]
351	chr21	TMEM50B	-	33449140	33450863	[33449264]
352	chr21	PRMT2	+	46651805	46655097	[46653123]
353	chr21	PRMT2	+	46658744	46661270	[46661269, 46661140, 46660122, 46659934]
354	chr21	PRMT2	+	46664294	46665124	[46664870, 46664645]
355	chr21	RWDD2B	-	29004383	29006651	[29005772, 29006226, 29006373]
356	chr21	RIPK4	-	41739372	41741997	[41739372, 41739612]
357	chr21	DIP2A	+	46545880	46546306	[46546304]
358	chr21	DIP2A	+	46567369	46571226	[46569682, 46569497, 46569210]
359	chr21	LOC102724560	-	6444868	6445661	[6444873]
360	chr21	NRIP1	-	14961234	14968526	[14961249]
361	chr21	DYRK1A	+	37506098	37526358	[37514924, 37515225]
362	chr21	LOC102724428	+	6121143	6123778	[6123738]
363	chr21	PIGP	-	37065363	37065712	[37065380]
364	chr21	SLC5A3	+	34094862	34106260	[34106254, 34103376, 34103154, 34097119]
365	chr21	LOC102724023	-	5116340	5117231	[5116342]
366	chr21	EVA1C	+	32514813	32515387	[32515386]
367	chr21	MRPL39	-	25585655	25585754	[25585659]
368	chr21	PKNOX1	+	43029889	43033931	[43030173, 43030654, 43033581]
369	chr21	CBR3	+	36146075	36146562	[36146400, 36146556]
370	chr21	URB1	-	32311017	32315099	[32313987, 32313542, 32314154]
371	chr21	PRDM15	-	41798224	41801722	[41798227]
372	chr21	ITSN1	+	33836986	33838498	[33838497, 33837352]
373	chr21	CBR1	+	36071814	36073164	[36073163, 36073019]
374	chr21	IFNAR2	+	33262560	33265664	[33265661, 33262788, 33264406]
375	chr21	CCT8	-	29056325	29056552	[29056326]
376	chr21	GART	-	33503930	33504315	[33503943]
377	chr21	GART	-	33524008	33525000	[33524009]
378	chr21	LSS	-	46188445	46191235	[46189147, 46189282]
379	chr21	HMGN1	-	39342314	39343159	[39342553, 39342318, 39342633, 39342750]
380	chr21	HLCS	-	36748624	36754417	[36749548, 36750091, 36751280, 36750927]
381	chr21	COL18A1	+	45512187	45513720	[45513719, 45512710]
382	chr21	RRP1	+	43803511	43805293	[43804098, 43803766]
383	chr21	CXADR	+	17565427	17570100	[17569815, 17570074, 17566956, 17566795]
384	chr21	MX1	+	41458527	41459214	[41459206]
385	chr21	SYNJ1	-	32628762	32634884	[32628815]
386	chr21	JAM2	+	25714639	25717562	[25717493, 25717304, 25714853]
387	chr21	USP16	+	29054065	29054488	[29054311, 29054485]
388	chr21	PCBP3	+	45941669	45942450	[45942340, 45942449]
389	chr21	LTN1	-	28928143	28930510	[28928151, 28929585, 28930301]
390	chr21	B3GALT5	+	39660559	39673137	[39673018, 39673136]
391	chr21	MRPS6	+	34142407	34143030	[34143029]
392	chr21	CHAF1B	+	36416274	36419015	[36419004, 36416827, 36416553]
393	chr21	DOP1B	+	36293319	36294274	[36294273, 36294130, 36294002]
394	chr21	UBE2G2	-	44768579	44771489	[44769257, 44769409, 44769066, 44770457, 44769548]
395	chr21	MORC3	+	36375142	36376632	[36376631, 36376518]
396	chr21	SOD1	+	31668470	31668931	[31668920]
397	chr21	ZBTB21	-	41986830	41994108	[41986853, 41988637]
398	chr21	HSF2BP	-	43529185	43529962	[43529194]
399	chr21	USP25	+	15878302	15880064	[15878629, 15878897]
400	chr21	CFAP410	-	44328943	44330326	[44328966, 44329080, 44329889]
401	chr21	SMIM11	+	34385477	34389151	[34389122]
402	chr21	VPS26C	-	37223419	37225626	[37223426]
403	chr21	SIM2	+	36747664	36749917	[36749739]
404	chr21	TRAPPC10	+	44103292	44106552	[44105754]
405	chr21	PTTG1IP	-	44849597	44851627	[44849598, 44850917]
406	chr21	IFNGR2	+	33436827	33437516	[33437503, 33437377]
407	chr21	IL10RB	+	33296183	33297221	[33296954, 33297214, 33297070]
408	chr21	SETD4	-	36034540	36036251	[36034556, 36034691]
409	chr21	SETD4	-	36043683	36043956	[36043734]
410	chr21	BRWD1	-	39184175	39197415	[39185909, 39196557, 39196125, 39195586, 39193848]
411	chr21	BRWD1	-	39296436	39298582	[39298094, 39296464]
412	chr21	C21orf58	-	46300429	46302154	[46301177]
